区域,小时序号,时段,工作日负荷_kWh,周末负荷_kWh,综合典型日负荷_kWh,工作日负荷占全天_raw,周末负荷占全天_raw,综合典型日负荷占全天_raw
5,8,08-09,368,722,469.1428571,0.02733011511,0.03779115415,0.0311176387
5,9,09-10,483,1087,655.5714286,0.03587077609,0.0568961005,0.04348320462
5,10,10-11,601,1487,854.1428571,0.04463423691,0.077833028,0.05665419055
5,11,11-12,723,1694,1000.428571,0.0536947642,0.08866788799,0.0663571327
5,12,12-13,845,1808,1120.142857,0.0627552915,0.09463491233,0.07429762638
5,13,13-14,675,1725,975,0.05012996658,0.09029049987,0.06467048846
5,14,14-15,914,1616,1114.571429,0.06787968808,0.08458518712,0.07392808073
5,15,15-16,963,1490,1113.571429,0.07151875232,0.07799005496,0.07386175203
5,16,16-17,841,1331,981,0.06245822503,0.06966762628,0.0650684607
5,17,17-18,1085,1187,1114.142857,0.08057927961,0.06213033237,0.07389965414
5,18,18-19,1514,1093,1393.714286,0.1124396584,0.05721015441,0.09244326527
5,19,19-20,1327,910,1207.857143,0.09855180097,0.04763151008,0.08011560146
5,20,20-21,969,728,900.1428571,0.07196435202,0.03810520806,0.05970531103
5,21,21-22,615,551,596.7142857,0.04567396955,0.02884061764,0.03957928649
5,22,22-23,435,365,415,0.03230597846,0.01910494635,0.02752641304
5,23,23-00,190,176,186,0.01411065726,0.009212248103,0.01233713934
6,0,00-01,133,121,129.5714286,0.00723770135,0.009063670412,0.007648844662
6,1,01-02,79,55,72.14285714,0.004299085764,0.004119850187,0.004258728285
6,2,02-03,67,62,65.57142857,0.003646060078,0.004644194757,0.00387080452
6,3,03-04,12,0,8.571428571,0.0006530256857,0,0.000505987519
6,4,04-05,64,0,45.71428571,0.003482803657,0,0.002698600101
6,5,05-06,245,113,207.2857143,0.01333260775,0.008464419476,0.01223646483
6,6,06-07,487,297,432.7142857,0.02650195908,0.02224719101,0.02554393658
6,7,07-08,856,424,732.5714286,0.04658249891,0.03176029963,0.04324506662
