区域,归一化极差,峰值负荷_kWh,峰值时段,谷值负荷_kWh,谷值时段
1,2.467481,1856.428571,17-18,17.714286,04-05
2,2.512572,1739.428571,17-18,11.571429,03-04
3,2.440465,1316.285714,17-18,11.857143,03-04、04-05
4,2.181902,1711.285714,17-18,11.714286,04-05
5,2.209542,1393.714286,18-19,5.714286,02-03
6,2.117457,1503.142857,17-18,8.571429,03-04
7,2.131898,651.857143,12-13,5.714286,02-03
8,2.282778,812.571429,17-18,8.571429,01-02
9,1.940549,1215.714286,12-13,6.428571,03-04
10,2.002828,797.714286,12-13,13.571429,04-05
