publication_hour,n,bias_mean_kW,bias_mean_abs_kW,bias_max_abs_kW,delta_v_mean_kW,delta_v_mean_abs_kW,delta_v_max_abs_kW,delta_v_min_kW,delta_v_max_kW,delta_v_mean_abs_kWh,truncated_rows,truncated_share,zero_history_rows
0,48096,29.972885381914743,88.91633407009148,661.5967258928573,31.59303293473198,87.29618651727422,661.5967258928576,-417.5227297619048,661.5967258928576,14.549364419545704,1619,0.03366184298070526,0
6,36406,17.17995541364846,88.89467482588886,497.2169244047619,18.692781918715,87.38184832082231,497.2169244047618,-433.03567857142855,497.2169244047618,14.563641386803718,1091,0.029967587760259297,0
12,24382,52.239440487566945,64.37337323691658,323.9598122023808,53.35313707988866,63.25967664459487,323.9598122023808,-268.189511904762,323.9598122023808,10.543279440765811,647,0.02653596915757526,0
18,12358,-3.9953610443206258,6.820387088516017,237.59797470238095,-2.9812675496738184,5.80629359386921,227.2162976190476,-227.2162976190476,104.74233452380952,0.9677155989782016,352,0.028483573393753035,0
truncated_subset,3709,-91.29233232621102,91.29233232621102,444.13107232142846,-44.73398879302598,44.73398879302598,422.2149166666667,-422.2149166666667,0.0,7.455664798837663,3709,1.0,0
