indicator,moran_I,perm_p,null_mean,null_sd
total_mt,0.21576642764874046,0.061,-0.030376977593514612,0.112108431989782
per_capita_t,0.31447329137683383,0.002,-0.0327673170777963,0.09775153273976116
intensity_t_per_10k_yuan,0.4113011122932935,0.001,-0.030849650767776907,0.09837039842036267
coal_share_pct,0.17348943072188253,0.1,-0.036627412314540954,0.09969701576496842
process_share_pct,0.4073284384537422,0.001,-0.03380563582702651,0.1074471781046333
