year,total_mt,pred_mt,residual_mt,ape_pct,expanding_pred_mt,trend_baseline_mt
2019,11148.495755,11156.962034825972,-8.466279825972379,0.07594100596195077,,
2020,11192.99749,11194.879575761166,-1.8820857611663087,0.01681485020297551,,
2021,11619.026558,11581.612673652779,37.41388434722103,0.3220053260095236,,
2022,11627.056499,11736.017285847687,-108.9607868476869,0.9371313096918228,11793.775849123325,11785.650144548108
2023,11952.397424,11844.851262878914,107.5461611210867,0.8997873590208583,11750.17228881741,11865.755545688176
2024,11901.436668,11925.36934134092,-23.93267334091979,0.20109062467448818,12085.682310515032,12129.780197263268
