strategy_id,load_predictor,pv_predictor,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_days,emergency_events,evaluation_initial_kWh,final_kWh,fallback_days,solver_failures,max_mip_gap,solver_seconds,evaluated_days,evaluated_slots,comparison_strategy,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_planned_kWh,delta_emergency_kWh,delta_unused_kWh,delta_loss_kWh,delta_final_kWh,pv_mae_kW,zero_pv_prediction_kW,gated_actual_energy_kWh,gated_actual_max_kW,gated_actual_gt100_slots,improved_months
C2_pv_original,naive,ridge,21934863.634501986,100167.82465671131,2876293.4056743803,6430237.101231956,5210688.542714303,1221989.1037581186,13456897.615970643,606553.2194627441,14063450.835433388,572,107,171,8801.462273333342,6360.917032868906,0,0,2.596465607555452e-16,10.62635769834742,334,48096,C2_pv_original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.65611941860212,8.319382673972624,2.3154166666666667,0.1268,0,0
C3_joint_original,ridge,ridge,21742880.381834913,68418.73898356504,2643916.9575322215,6476633.113326106,5248440.445006513,1230823.360777779,13297869.003388403,424696.41770448955,13722565.421092894,512,123,203,8801.462273333342,6170.769815146891,0,0,2.850335428697304e-16,10.322906000772491,334,48096,C3_joint_original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.65611941860212,8.319382673972624,2.3154166666666667,0.1268,0,0
G2_pv_gate,naive,ridge,21934367.9553982,100102.82680969294,2875678.5693055666,6430400.297555232,5210797.5796195725,1222017.5386021426,13456444.299592907,606597.1656507556,14063041.465243664,576,110,176,8801.462273333342,6386.641606851852,0,0,2.5991245614032173e-16,10.553311899770051,334,48096,C2_pv_original,-409.37018972449005,-453.31637773662806,43.94618801155593,-495.6791037879884,-64.99784701837052,-614.8363688136451,28.434844024013728,25.724573982945913,152.0413763306946,2.6630972477103523,2.3154166666666667,0.1268,0,3
G3_joint_gate,ridge,ridge,21743053.909096226,68754.61605788153,2644483.183119474,6476205.812333423,5248069.965265453,1230739.4662628374,13297835.041471457,426758.2370113603,13724593.278482819,515,123,205,8801.462273333342,6197.843078466478,0,0,2.6570037016814806e-16,10.196061701048166,334,48096,C3_joint_original,2027.8573899250478,-33.96191694587469,2061.819306870748,173.52726131305099,335.87707431649324,566.2255872525275,-83.8945149416104,27.07326331958666,152.0413763306946,2.6630972477103523,2.3154166666666667,0.1268,0,2
