month,mean,std,min,max
2025-02,-68.24102787698412,328.94102311481765,-1622.5139,1803.125
2025-03,-41.44218707437276,424.532624687677,-1993.7262,2346.428999999999
2025-04,-15.590378240740739,464.5522089279952,-2622.755000000001,2516.8836
2025-05,29.16099478046595,489.9607828690252,-2444.192500000001,2304.6124999999993
2025-06,74.26496872685186,554.3109905434156,-3014.1440999999995,3402.935099999999
2025-07,103.101896281362,542.228636111983,-2283.1218,2612.115
2025-08,-43.14920777329749,470.12763144928454,-2017.7175000000007,2163.7448000000004
2025-09,-114.70686719907407,525.4849070643371,-2623.346300000001,2496.8075
2025-10,-20.580722535842295,374.0997682618774,-2421.4656999999997,1899.7699999999986
2025-11,16.487347337962962,281.08869185839114,-1830.2350000000006,1518.4697
2025-12,60.010954166666664,316.5484500047963,-1242.995,1712.4352000000008
