fold,test_rows,test_mothers,r_squared,rmse,mae
1,217,54,-0.025125874086636024,3.1351861473870635,2.5726061344095896
2,217,54,0.057010328828623225,3.0886311201176317,2.515929316635267
3,216,53,0.13154133918948474,3.1728705795976846,2.6232672159957016
4,216,53,-0.0054552146533013435,3.4668258883602103,2.6338501824593545
5,216,53,0.07796801514404395,3.4139327624978746,2.740473091968077
