feature,permutation_rmse_increase_mean,permutation_rmse_increase_std,full_data_tree_gain_share
gestational_week,0.2536150279056225,0.06298325458407417,0.13065174221992493
孕妇BMI,0.09902618142261396,0.06361734373843167,0.12050394713878632
IVF妊娠,-9.85737488110061e-05,0.00022041760313839872,0.07250386849045753
生产次数,-0.0007343732044811325,0.025235925077574023,0.2646607533097267
怀孕次数,-0.008715265254815535,0.05674295968829046,0.24248886108398438
年龄,-0.01251322648560133,0.06328397415517888,0.08714166283607483
身高,-0.05281673520482473,0.05414059020172384,0.082049161195755
