model,term,estimate_on_model_scale,standard_error,pvalue
raw,Intercept,11.946111098123225,1.116328705533333,1.8058890106580886e-25
raw,gestational_week,0.12553908514599088,0.024733737822562368,4.546038133956972e-07
raw,Q('孕妇BMI'),-0.19642115317515277,0.033919098218258475,9.17622869662267e-09
log,Intercept,-1.9412356154817514,0.15722965867910305,7.48289862124449e-33
log,gestational_week,0.014381418540020839,0.0034836308843657,3.936603001829759e-05
log,Q('孕妇BMI'),-0.029872545718393217,0.0047773457845570995,5.792867931342794e-10
logit,Intercept,-1.8150229392831019,0.16888256554251205,1.1519425368618251e-25
logit,gestational_week,0.015790198289822855,0.0037418164365258023,2.6491938789090998e-05
logit,Q('孕妇BMI'),-0.03200776660893021,0.005131413623598605,6.368654453655421e-10
