term,estimate,standard_error,t_statistic,pvalue,ci_lower_95,ci_upper_95
Intercept,7.642365922010934,0.15501490363931295,49.300846193428676,2.7122084147474476e-278,7.3382001522083655,7.946531691813503
week_c,0.09723980852322857,0.02947669987377098,3.2988702581917826,0.001002547926769101,0.03940147880232409,0.15507813824413305
bmi_c,-0.1653205844044309,0.036994669065254636,-4.468767759831101,8.699381877850093e-06,-0.2379104562854383,-0.09273071252342349
I(week_c ** 2),0.011883057588876759,0.006593339987974753,1.8022819406476298,0.071780823550201,-0.00105420383521637,0.02482031901296989
I(bmi_c ** 2),-0.015915814119458527,0.0057756676751100945,-2.755666533247196,0.005956173080319631,-0.027248662531320158,-0.004582965707596896
week_c:bmi_c,0.010775324462192664,0.008024920920180199,1.3427327906865785,0.17964169457046347,-0.00497094374806162,0.02652159267244695
