date,slot,load_forecast_kW,pv_forecast_kW,support_start_slot,support_end_slot,support_valid,support_defined
2025-01-02,0,3529.7296,0.0,0,143,0,True
2025-01-02,1,3609.5287,0.0,0,143,0,True
2025-01-02,2,3726.56,0.0,0,143,0,True
2025-01-02,3,3510.6311,0.0,0,143,0,True
2025-01-02,4,3502.5625,0.0,0,143,0,True
2025-01-02,5,3787.01,0.0,0,143,0,True
2025-01-02,6,3900.3205,0.0,0,143,0,True
2025-01-02,7,3916.8376,0.0,0,143,0,True
2025-01-02,8,3817.28,0.0,0,143,0,True
2025-01-02,9,3533.0136,0.0,0,143,0,True
2025-01-02,10,3694.6613,0.0,0,143,0,True
2025-01-02,11,4064.73,0.0,0,143,0,True
2025-01-02,12,3810.671,0.0,0,143,0,True
2025-01-02,13,3844.9495,0.0,0,143,0,True
2025-01-02,14,4234.62,0.0,0,143,0,True
2025-01-02,15,4109.9755,0.0,0,143,0,True
2025-01-02,16,3996.8945,0.0,0,143,0,True
2025-01-02,17,4102.19,0.0,0,143,0,True
2025-01-02,18,4086.0577,0.0,0,143,0,True
2025-01-02,19,4133.7626,0.0,0,143,0,True
2025-01-02,20,4179.18,0.0,0,143,0,True
2025-01-02,21,3953.3711,0.0,0,143,0,True
2025-01-02,22,3910.7496,0.0,0,143,0,True
2025-01-02,23,4099.31,0.0,0,143,0,True
2025-01-02,24,4123.8623,0.0,0,143,0,True
2025-01-02,25,4169.0068,0.0,0,143,0,True
2025-01-02,26,4260.24,0.0,0,143,0,True
2025-01-02,27,4217.2222,0.0,0,143,0,True
2025-01-02,28,4261.857,0.0,0,143,0,True
2025-01-02,29,4341.9,0.0,0,143,0,True
2025-01-02,30,4208.2208,0.0021,0,143,0,True
2025-01-02,31,4302.1233,0.0,0,143,0,True
2025-01-02,32,4456.59,0.0,0,143,0,True
2025-01-02,33,4148.637,0.0299,0,143,0,True
2025-01-02,34,4498.1333,0.0,0,143,0,True
2025-01-02,35,5369.38,0.0,0,143,0,True
2025-01-02,36,5440.8991,0.4169,0,143,0,True
2025-01-02,37,5316.893,0.0,0,143,0,True
2025-01-02,38,5399.82,0.0,0,143,0,True
2025-01-02,39,5447.4007,5.8062,0,143,0,True
2025-01-02,40,5444.401,0.0,0,143,0,True
2025-01-02,41,5433.63,3.075,0,143,0,True
2025-01-02,42,5449.2818,175.7953,0,143,0,True
2025-01-02,43,5510.0042,421.496,0,143,0,True
2025-01-02,44,5476.0,677.1,0,143,0,True
2025-01-02,45,5329.4215,950.8112,0,143,0,True
2025-01-02,46,6084.1163,1255.5705,0,143,0,True
2025-01-02,47,7316.0,1592.2875,0,143,0,True
2025-01-02,48,7469.4947,1937.5212,0,143,0,True
2025-01-02,49,7225.691,2225.1261,0,143,0,True
2025-01-02,50,7216.13,2490.1125,0,143,0,True
2025-01-02,51,7361.7004,2826.3146,0,143,0,True
2025-01-02,52,7275.513,3122.1315,0,143,0,True
2025-01-02,53,7077.29,3350.9625,0,143,0,True
2025-01-02,54,7221.8762,3601.7977,0,143,0,True
2025-01-02,55,7229.5513,3875.6352,0,143,0,True
2025-01-02,56,7099.33,4149.825,0,143,0,True
2025-01-02,57,7297.1521,4403.4802,0,143,0,True
2025-01-02,58,7313.1756,4624.7505,0,143,0,True
2025-01-02,59,7099.46,4836.6375,0,143,0,True
2025-01-02,60,7125.5214,5080.7024,0,143,0,True
2025-01-02,61,7096.3104,5338.7528,0,143,0,True
2025-01-02,62,6986.17,5494.725,0,143,0,True
2025-01-02,63,7098.9702,5437.9778,0,143,0,True
2025-01-02,64,7193.993,5396.2126,0,143,0,True
2025-01-02,65,7135.18,5372.1,0,143,0,True
2025-01-02,66,7042.947,5182.9722,0,143,0,True
2025-01-02,67,7069.1675,5131.5011,0,143,0,True
2025-01-02,68,7129.17,5294.775,0,143,0,True
2025-01-02,69,6971.0393,5434.7444,0,143,0,True
2025-01-02,70,6648.4937,5455.5011,0,143,0,True
2025-01-02,71,6471.29,5331.7125,0,143,0,True
2025-01-02,72,6681.1855,5126.6533,0,143,0,True
2025-01-02,73,6585.2714,5118.4895,0,143,0,True
2025-01-02,74,6283.97,5302.575,0,143,0,True
2025-01-02,75,6547.9322,5399.7996,0,143,0,True
2025-01-02,76,6747.6789,5377.6488,0,143,0,True
2025-01-02,77,6682.36,5261.8125,0,143,0,True
2025-01-02,78,6790.9628,5097.6164,0,143,0,True
2025-01-02,79,6916.0165,5029.4534,0,143,0,True
2025-01-02,80,6834.78,5043.8625,0,143,0,True
2025-01-02,81,6546.5252,4973.5844,0,143,0,True
2025-01-02,82,6539.873,4769.7524,0,143,0,True
2025-01-02,83,6773.97,4478.625,0,143,0,True
2025-01-02,84,6736.8117,4209.3909,0,143,0,True
2025-01-02,85,6623.3813,4060.4316,0,143,0,True
2025-01-02,86,6548.98,3934.425,0,143,0,True
2025-01-02,87,6398.5627,3648.1229,0,143,0,True
2025-01-02,88,6196.5854,3431.0164,0,143,0,True
2025-01-02,89,6154.69,3327.3375,0,143,0,True
2025-01-02,90,6459.5818,3139.1175,0,143,0,True
2025-01-02,91,6622.8857,2860.4253,0,143,0,True
2025-01-02,92,6493.61,2505.0,0,143,0,True
2025-01-02,93,6375.0516,2089.695,0,143,0,True
2025-01-02,94,6354.113,1762.1562,0,143,0,True
2025-01-02,95,6404.25,1525.8,0,143,0,True
2025-01-02,96,6444.972,1249.2025,0,143,0,True
2025-01-02,97,6399.4586,968.2219,0,143,0,True
2025-01-02,98,6292.15,706.6125,0,143,0,True
2025-01-02,99,6236.9153,440.4383,0,143,0,True
2025-01-02,100,6299.9437,180.885,0,143,0,True
