group,load_source,pv_source,n,mae_kW,rmse_kW,bias_kW
F00_original,L0,V0,48096,243.35647238334258,360.2378680095867,5.870839731234088
F10_load_shape,L1,V0,48096,243.1000497736389,360.77777853521036,7.5069863745833665
F01_pv_support,L0,V1,48096,242.35471110939295,359.21034436568976,1.4403134998754712
F11_joint,L1,V1,48096,242.46521312791464,360.3136855842569,3.0764601432247525
