indicator,kruskal_H,kruskal_p
per_capita_t,3.882027649769583,0.2744880268883072
intensity_t_per_10k_yuan,2.9626728110599174,0.39741617184883415
coal_share_pct,7.7168202764977,0.05224147565188541
process_share_pct,4.992165898617515,0.1723716953178973
