scenario,phase,end_year,total_mt,intensity_mt_per_trillion_yuan,intensity_index_2025,intensity_reduction_pct,coal_share_pct,clean_share_pct
低碳,2026--2030,2030,12119.551763893714,68.6557340709606,83.55354662121951,16.44645337878049,47.4,34.6
低碳,2031--2035,2035,12572.964241326663,58.54114883531174,71.24416736139534,28.755832638604662,42.39999999999999,39.60000000000001
低碳,2036--2045,2045,13437.482269245033,44.354528490381426,53.979149946206974,46.020850053793026,32.399999999999984,49.600000000000016
基准,2026--2030,2030,12248.657337957904,69.38710088490802,84.44361490194328,15.556385098056724,49.4,32.6
基准,2031--2035,2035,12813.49902586163,59.66110609847225,72.60714749215234,27.392852507847664,46.4,35.6
基准,2036--2045,2045,13864.761839388162,45.76489566241091,55.69555689831101,44.304443101688996,40.39999999999999,41.60000000000001
强化低碳,2026--2030,2030,11963.400196057552,68.42342320630446,83.27082592901044,16.72917407098955,45.4,36.6
强化低碳,2031--2035,2035,12286.17530062535,58.31497680227802,70.96891758419585,29.031082415804143,38.39999999999999,43.60000000000001
强化低碳,2036--2045,2045,12890.560690585904,44.651724307965665,54.34083517084518,45.65916482915483,24.399999999999977,57.600000000000016
