v,month,a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_rho_p10_kWh,a_rho_p90_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_rho_p10_kWh,b_rho_p90_kWh,delta_pv_mae_kW,delta_pv_rmse_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,delta_shortfall_kWh,delta_surplus_kWh,group_type,clock,boundary,is_generation,publication_hour
0,2025-02,4032,179.06938874421297,340.76496880585165,-66.60507492559525,4032,41.30959352831166,63.362587163362186,-17.23999952305498,4032,163.53510779965632,316.8356897598365,-36.40241183655754,4032,39.34930663824065,59.74931861795152,-12.206222341548692,0.8120039682539683,3.949381408277331,51.01490236301439,29.825521431682088,8.529057988894806,59.32975150847718,0.8120039682539683,4.671134175961954,49.88420319997933,33.00684668246869,10.906099888281688,77.29347216405418,-15.534280944556656,-23.929279046015154,30.202663089037706,-1.9602868900710106,5.033777181506288,0.7217527676846229,-1.130699163035061,month,,,,0
0,2025-03,4464,223.2006910916965,421.6908278981753,-76.85391857078854,4464,46.051259648344,72.07967047115879,-9.928491184777682,4464,197.4196551043267,382.84335261751255,-16.27920400105606,4464,42.82910383386582,66.62636203467942,0.16729457684439492,0.7618727598566308,6.970476029362446,47.781412561464535,30.882445347324406,8.243239020148849,63.755768629034606,0.758736559139785,7.295623600331358,47.73324697676864,40.60491795328167,12.118533770988279,92.12133847921662,-25.78103598736982,-38.84747528066276,60.57471456973248,-3.222155814478178,10.095785761622077,0.32514757096891156,-0.04816558469589438,month,,,,0
0,2025-04,4320,224.04804036265432,398.8815400813177,-7.00097821759259,4320,45.89306248837403,69.00158680901117,4.19496905923888,4320,224.35867660796956,408.60613645021664,60.263525877149476,4320,46.50099421466631,71.62145323533653,15.405719741695888,0.7587962962962963,8.39121754362366,46.109133682050064,41.91288519766528,16.20249082279463,84.24456987882436,0.7615740740740741,8.308482726012025,47.010325226159395,54.10756224184326,17.470412062354853,134.56248555315477,0.31063624531523715,9.724596368898915,67.26450409474207,0.6079317262922785,11.210750682457007,-0.08273481761163382,0.9011915441093308,month,,,,0
0,2025-05,4464,202.58610144115892,359.08211805974895,13.883324283154112,4464,46.12986344681428,65.66764490257214,7.523538074689446,4464,193.43782543049423,356.2389552015043,-9.10159177154005,4464,44.82793074116269,64.96241798449917,3.692718732240417,0.7954749103942652,6.76798871890091,56.353659527319394,57.109208883107925,18.386817038704407,110.47633622157429,0.8122759856630825,6.059807581471043,63.36407620901795,60.99698735978733,18.03873395726339,133.40250765722044,-9.148276010664688,-2.843162858244625,-22.98491605469416,-1.3019327056515877,-3.830819342449029,-0.7081811374298672,7.010416681698558,month,,,,0
0,2025-06,4320,207.14226628858026,376.8041911034531,-31.132420300925947,4320,49.064694658475425,69.45299888459759,-2.4310731558350107,4320,206.72965730944114,384.9081605401831,1.105502938712521,4320,49.83634263650068,71.0294361109518,2.9419140507713983,0.8030092592592593,6.87488453324258,61.150465700776195,51.84450801169861,25.4412421956481,88.67133462172865,0.78125,8.1661549147351,57.51403743405579,52.289796570092086,20.736313417444876,98.55691072560799,-0.4126089791391223,8.103969436729983,32.23792323963847,0.771647978025257,5.372987206606409,1.291270381492521,-3.636428266720408,month,,,,0
0,2025-07,4464,216.61831875,392.1098853913911,5.322196102150534,4464,57.416880229622905,80.72643783389003,3.5065539375419292,4464,214.10372240263376,400.3932070062837,-6.105187354123993,4464,57.238384866243905,81.48020887846091,1.6019900281628412,0.7829301075268817,9.274588866902686,67.04230299626714,61.27426806690638,27.3450685329542,124.06084896800826,0.7918906810035843,8.853915980164016,71.08903038177712,63.83710442977594,27.714250939067142,129.23860670740152,-2.514596347366222,8.2833216148926,-11.427383456274526,-0.17849536337899963,-1.904563909379088,-0.42067288673866976,4.046727385509982,month,,,,0
0,2025-08,4464,267.5031120183692,510.1293938931368,-82.70563438620073,4464,59.60328169985038,94.53094454732722,-25.89109982461778,4464,232.5512717176566,466.0598785390187,-36.72949973264956,4464,55.055803111189284,86.80110238399884,-18.228410715692586,0.8080197132616488,6.28735485093356,68.4032424858979,36.22478781034658,6.358024016625893,76.4219785654239,0.8042114695340502,7.2900835182924935,65.58989136667009,40.07139713268499,9.021617715177968,87.39026997142565,-34.95184030071263,-44.069515354118096,45.97613465355117,-4.547478588661093,7.662689108925193,1.0027286673589337,-2.8133511192278178,month,,,,0
0,2025-09,4320,229.88354457561726,426.0435769661253,0.16144682870369875,4320,61.90741740497447,87.65529451507693,-12.788115929842352,4320,213.49211014123125,415.1728421941977,51.45029105406748,4320,57.8830592655593,82.82690281743866,-4.239975225615053,0.7578703703703704,10.113592430282406,59.67079993456333,36.769091574438576,1.7760979831163581,91.3516007464766,0.7608796296296296,9.880952855606981,61.52933378053753,47.40840569931551,7.476148656801347,124.38691925258786,-16.391434434386014,-10.870734771927573,51.28884422536378,-4.02435813941517,8.548140704227299,-0.2326395746754244,1.8585338459742005,month,,,,0
0,2025-10,4464,251.82718196311234,480.7877746085096,-85.56521467293909,4464,51.715893061176956,81.33847362213542,-9.140390626933522,4464,226.5309920475577,455.5753368061875,-26.549053617764876,4464,48.64601834968194,78.18709252412528,0.6956362155955093,0.7876344086021505,6.200229825139091,59.03748239156785,43.69686193949523,11.009956078621547,102.41072377055706,0.7815860215053764,7.174315148858135,57.97908858662268,51.50040965336006,17.61323198162529,119.46006911086911,-25.296189915554635,-25.212437802322086,59.016161055174216,-3.069874711495018,9.836026842529032,0.9740853237190441,-1.0583938049451689,month,,,,0
0,2025-11,4320,151.61288302469134,288.2162228566091,2.5253175925925917,4320,35.81616925165217,52.555474935027334,5.282110468028224,4320,140.9988299714782,283.83001433287126,31.267533764192027,4320,35.12286605741798,52.448443823425166,10.072479829961463,0.8090277777777778,4.132600832697712,40.925583540983084,42.075093176313594,17.58877942071888,81.33085784970689,0.8277777777777777,3.268875368610944,45.32138945111306,52.12499391246358,18.67867220478024,118.70881617294813,-10.614053053213155,-4.386208523737821,28.742216171599434,-0.6933031942341898,4.790369361933239,-0.8637254640867678,4.39580591012998,month,,,,0
