strategy_id,load_predictor,pv_predictor,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_days,emergency_events,evaluation_initial_kWh,final_kWh,fallback_days,solver_failures,max_mip_gap,solver_seconds,evaluated_days,evaluated_slots,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_total_cost_yuan,delta_unused_kWh,delta_loss_kWh,delta_total_pct
G0_naive_gate,naive,naive,22189694.54651042,90293.65026662748,3130022.989551908,6383942.3729384765,5173166.66068,1213190.532924959,13618814.54132956,539545.9924132548,14158360.533742815,545,106,172,8801.462273333342,6386.641606851853,0,0,2.591116389628947e-16,10.370413802098483,334,48096,320979.4998581037,112787.75540189451,433767.2552599963,485539.8064324339,-17548.933337878436,3.1605108177598904
G1_ridge_gate,ridge,ridge,21743053.909096226,68754.61605788153,2644483.183119474,6476205.812333423,5248069.965265453,1230739.4662628374,13297835.041471457,426758.2370113603,13724593.278482819,515,123,205,8801.462273333342,6197.843078466478,0,0,2.6570037016814806e-16,10.379813498817384,334,48096,0.0,0.0,0.0,0.0,0.0,0.0
G2_lightgbm_gate,lightgbm,lightgbm,21725832.79354745,64391.110959228456,2620579.522961395,6488228.377607029,5257773.491028408,1233019.8923194152,13278448.803895103,401552.6167426024,13680001.420637706,448,126,191,8801.462273333342,6236.456532540259,0,0,3.037002901235343e-16,10.015720801893622,334,48096,-19386.237576354295,-25205.62026875792,-44591.85784511268,-23903.660158079118,2280.426056577824,-0.3249047672328697
G3_ridge_fixed,ridge,ridge,21733060.08420842,68754.61605788153,2633990.1270251563,6478833.344999278,5250198.266724795,1231238.69746935,13290624.123764867,426758.2370113603,13717382.360776227,515,123,205,8801.462273333342,6197.843078466478,0,0,2.6570037016814806e-16,10.433317898306996,334,48096,-7210.917706590146,0.0,-7210.9177065920085,-10493.056094317697,499.2312065125443,-0.052540119479512454
G4_lightgbm_fixed,lightgbm,lightgbm,21715341.55452233,64512.158539293916,2609665.5206449376,6491090.54008808,5260091.84263806,1233563.703190815,13270950.722208492,402129.9482036904,13673080.670412183,449,126,191,8801.462273333342,6236.456532540259,0,0,3.037002901235343e-16,10.034590501105413,334,48096,-26884.31926296465,-24628.288807669887,-51512.60807063617,-34817.66247453634,2824.2369279775303,-0.3753306711929799
