strategy_id,hour,planned_kWh,emergency_kWh,unused_kWh,emergency_cost_yuan
A_base,0,1825153.042209326,329.6414476666666,14786.966825308658,702.0071129758333
A_base,1,1271624.170442557,1396.1810230000003,6462.97881563786,3006.611686759834
A_base,2,1209791.4626982978,1530.0727,4843.625422016458,3318.9046279166664
A_base,3,1153108.6706365205,1231.7434674999997,2835.774546913579,2689.3919661308328
A_base,4,1070425.2918538998,1223.3391711666663,2827.7069779835347,2685.6653139522496
A_base,5,1119843.8274793252,1232.3593183333346,27783.95040987652,3919.206419049173
A_base,6,250095.38654699997,7190.9648819053455,0.0,31417.08278039214
A_base,7,364939.23969948763,15267.88932948204,3318.2356030864134,67203.32148488001
A_base,8,1500.8941166666677,36942.93093129445,0.0,197727.01315588158
A_base,9,11312.582849999975,48355.36904949998,0.0,237261.65439073465
A_base,10,102022.96651748968,20105.140273166682,17150.433651851836,95768.75091143422
A_base,11,693573.8026561728,340.67488333333324,220333.81691063737,819.1710992749998
A_base,12,590486.6623860843,0.0,430710.87734876544,0.0
A_base,13,36344.82787916667,0.0,361475.009272662,0.0
A_base,14,116811.06302674898,0.0,221871.16418744854,0.0
A_base,15,736430.1644897119,1427.0165223333356,129454.23920524897,5429.603069722675
A_base,16,1092961.5415583332,2650.386919833334,29794.20013566786,11840.17882452742
A_base,17,1420138.0851666667,2476.3271666666665,16615.054001851855,12866.060154125
A_base,18,864823.1258166666,5919.154783333332,6242.11045246914,39117.57687098332
A_base,19,39206.151650000014,61948.698577644034,0.0,417573.8786695234
A_base,20,521146.22445,273407.345750589,0.0,1850537.8340382595
A_base,21,1595111.7108313884,22738.646681166665,4453.465315173004,100365.09846109607
A_base,22,2224812.996388439,6593.301506333332,21511.197980434306,13781.537679852914
A_base,23,1936902.8004581493,7016.371666946243,43656.18707315959,14901.348492918785
B_fixed_q80,0,1247745.8676458846,0.0,68418.25519238687,0.0
B_fixed_q80,1,1224883.5479158435,0.0,65938.88620679014,0.0
B_fixed_q80,2,1198852.3556206666,0.0,59530.1320730453,0.0
B_fixed_q80,3,1121873.6937809999,0.0,49963.53903374486,0.0
B_fixed_q80,4,1029201.1211778333,67.49552449999891,48866.851414403296,148.3214150887476
B_fixed_q80,5,972001.785524751,2151.051212999999,49738.789113374485,6839.183477928498
B_fixed_q80,6,352583.2306221666,2777.161450000001,0.0,12300.174275925005
B_fixed_q80,7,508399.8069867531,705.2328000000002,23554.727219341574,3228.009296591668
B_fixed_q80,8,4541.060416666669,5148.207942999984,0.0,27534.997159871327
B_fixed_q80,9,25418.31469999998,12187.97628533333,0.0,59602.82728400407
B_fixed_q80,10,180946.6347824218,7772.271775666665,55628.8274812757,37354.474807189246
B_fixed_q80,11,1029431.0702306584,0.0,415927.61402083543,0.0
B_fixed_q80,12,818208.6139056007,0.0,919618.4483046641,0.0
B_fixed_q80,13,72973.5842915,0.0,488750.8797717078,0.0
B_fixed_q80,14,176024.36148518723,0.0,260714.20489403495,0.0
B_fixed_q80,15,931671.2727814815,0.0,325182.6251161626,0.0
B_fixed_q80,16,1189854.9245166667,0.0,100450.73311563786,0.0
B_fixed_q80,17,1510679.7116,0.0,75005.39014567905,0.0
B_fixed_q80,18,964400.0385333333,568.4354166666665,41038.981239917724,3827.2756604166657
B_fixed_q80,19,63463.28976666669,13042.412151722201,0.0,87917.92357360317
B_fixed_q80,20,578688.5196333333,41593.73664457197,0.0,281817.1101234207
