strategy_id,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,theta,theta_preset,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan
G2_lightgbm_gate,2025-02-01,2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:10:00,0.4248,2532.1822,0.0,2639.7079699313745,0.0,439.95132832189574,33.095600000000104,473.04692832189585,0.80,0.80,28,,1026.977735729294,604.9473690626273,0.0,0.0,0.0,8801.462273333342,9345.914905489706,9300.0,436.2601421378041,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,0.4245,2492.4439,0.0,2710.0206912832773,0.0,451.6701152138795,41.44535413857602,493.11546935245553,0.80,0.80,28,,1326.448802685789,833.3333333333333,0.0,0.0,77.70815268578895,9345.914905489706,10095.914905489706,10050.0,563.0775167401174,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,0.4269,2464.3,0.0,2761.730544932637,0.0,460.28842415543943,51.87734394935296,512.1657681047924,0.80,0.80,28,,512.1657681047924,101.4491014381257,0.0,0.0,0.0,10095.914905489706,10187.21909678402,10050.0,218.64356640393586,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,0.4272,2581.7688,0.0,2736.037180578772,0.0,456.0061967631287,50.15106666666668,506.15726342979536,0.80,0.80,28,,506.1572634297954,75.86246342979547,0.0,0.0,0.0,10187.21909678402,10255.495313870835,10050.0,216.23038293720862,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,0.4271,2546.4635,0.0,2677.406836613144,0.0,446.23447276885736,47.94818333333325,494.1826561021906,0.80,0.80,28,,494.1826561021906,69.7720727688573,0.0,0.0,0.0,10255.495313870835,10318.290179362806,10050.0,211.0654124212456,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,0.4285,2436.31,0.0,2822.6120597427303,0.0,470.435343290455,82.84333333333336,553.2786766237884,0.80,0.80,28,,553.2786766237884,147.22700995712182,0.0,0.0,0.0,10318.290179362806,10450.794488324216,10050.0,237.07991293329334,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,0.4311,2620.5011,0.0,2848.2915616170603,0.0,474.71526026951005,41.223922795933504,515.9391830654436,0.80,0.80,28,,515.9391830654436,79.18899973211023,0.0,0.0,0.0,10450.794488324216,10522.064588083116,10050.0,222.4213818195127,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,0.4302,2710.7861,0.0,2791.6672715546147,0.0,465.27787859243574,52.30199999999991,517.5798785924356,0.80,0.80,28,,517.5798785924356,65.78219525910237,0.0,0.0,0.0,10522.064588083116,10581.268563816308,10050.0,222.66286377046583,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,0.4279,2676.48,0.0,2761.6110471468514,0.0,460.2685078578086,50.69333333333327,510.96184119114184,0.80,0.80,28,,510.96184119114184,64.88184119114186,0.0,0.0,0.0,10581.268563816308,10639.662220888335,10050.0,218.6405718456896,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,0.4312,2830.598,0.0,2852.6987792797127,0.0,475.44979654661876,44.104016666666666,519.5538132132854,0.80,0.80,28,,519.5538132132854,47.78747987995206,0.0,0.0,0.0,10639.662220888335,10682.670952780292,10050.0,224.03160425756866,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,0.4333,2688.1558,0.0,2964.45798609012,0.0,494.07633101501995,43.440533333333406,537.5168643483534,0.80,0.80,28,,537.5168643483534,89.4908976816867,0.0,0.0,0.0,10682.670952780292,10763.21276069381,10050.0,232.90605732214152,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,11,2025-02-01 01:50:00,2025-02-01 02:00:00,0.4311,2384.42,0.0,2990.8068295887365,0.0,498.46780493145604,51.32999999999993,549.797804931456,0.80,0.80,28,,549.797804931456,40.87471034021089,0.0,0.0,111.51976125791177,10763.21276069381,10800.0,10050.0,237.01783370595066,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,12,2025-02-01 02:00:00,2025-02-01 02:10:00,0.4293,2604.5438,0.0,2872.450943357074,0.0,478.7418238928456,37.28664744111114,516.0284713339568,0.80,0.80,28,,516.0284713339568,0.0,0.0,0.0,81.93783800062346,10800.0,10800.0,10050.0,221.53102274366765,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,13,2025-02-01 02:10:00,2025-02-01 02:20:00,0.4324,2943.3655,0.0,2904.5863190713885,0.0,484.0977198452314,35.9354211675593,520.0331410127907,0.80,0.80,28,,520.0331410127907,0.0,0.0,0.0,29.47222434612405,10800.0,10800.0,10050.0,224.8623301739307,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,14,2025-02-01 02:20:00,2025-02-01 02:30:00,0.4367,3019.32,0.0,3013.274957467582,0.0,502.21249291126367,44.6783333333334,546.8908262445971,0.80,0.80,28,,546.8908262445971,0.0,0.0,0.0,43.67082624459704,10800.0,10800.0,10050.0,238.82722382101554,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,15,2025-02-01 02:30:00,2025-02-01 02:40:00,0.4348,2844.4369,0.0,3052.551330539241,0.0,508.7585550898735,35.75526123706186,544.5138163269353,0.80,0.80,28,,544.5138163269353,0.0,0.0,0.0,70.44099966026863,10800.0,10800.0,10050.0,236.75460733895147,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,16,2025-02-01 02:40:00,2025-02-01 02:50:00,0.4335,2768.3064,0.0,3081.737436590321,0.0,513.6229060983868,51.582838334419876,565.2057444328067,0.80,0.80,28,,565.2057444328067,0.0,0.0,0.0,103.82134443280671,10800.0,10800.0,10050.0,245.0166902116217,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,17,2025-02-01 02:50:00,2025-02-01 03:00:00,0.4357,2861.65,0.0,3144.9812197261745,0.0,524.163536621029,52.63999999999987,576.8035366210289,0.80,0.80,28,,576.8035366210289,0.0,0.0,0.0,99.86186995436225,10800.0,10800.0,10050.0,251.31330090578228,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,18,2025-02-01 03:00:00,2025-02-01 03:10:00,0.4374,2900.3973,0.0,3148.487518790693,0.0,524.7479197984487,37.18016666666665,561.9280864651154,0.80,0.80,28,,561.9280864651154,0.0,0.0,0.0,78.5285364651154,10800.0,10800.0,10050.0,245.78734501984147,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,19,2025-02-01 03:10:00,2025-02-01 03:20:00,0.4371,2919.6115,0.0,3160.4946389575734,0.0,526.7491064929288,52.38599999999997,579.1351064929288,0.80,0.80,28,,579.1351064929288,0.0,0.0,0.0,92.53318982626217,10800.0,10800.0,10050.0,253.13995504805916,0.0
G2_lightgbm_gate,2025-02-01,2025-02-01,20,2025-02-01 03:20:00,2025-02-01 03:30:00,0.4356,2993.09,0.0,3093.2572722651958,0.0,515.5428787108659,75.46000000000004,591.002878710866,0.80,0.80,28,,591.002878710866,0.0,0.0,0.0,92.1545453775326,10800.0,10800.0,10050.0,257.4408539664532,0.0
