group,natural_total_yuan,template_total_yuan,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kWh,emergency_intervals,emergency_days,emergency_events,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,initial_state_kWh,final_natural_state_kWh,final_template_state_kWh,settlement_residual_yuan,physics_residual_kWh
B0,13699337.684431653,13699604.088840172,13264904.275916835,0.0,434433.4085148161,73095.96273054686,577,119,218,2573521.9744411064,6317463.664277316,5121099.175448165,1200757.3859219723,6075.795025925926,1682.897933104455,1642.1858636354666,9.094947017729282e-13,4.551026222543442e-12
B1,13848086.998191595,13848353.402600115,13452492.44127476,0.0,395594.55691683554,66348.28707827492,581,132,233,2825488.287765027,6286155.1051958185,5095739.242592152,1194808.7596964878,6075.795025925926,1682.897933104455,1642.1858636354666,0.0,9.094947017729282e-13
B2,13492312.266087154,13492578.670495674,12930615.16877282,431866.10524992,129830.99206441411,25269.234552697864,449,108,186,1878818.701456464,6392480.553096918,5181862.8553920435,1215010.594797697,6075.795025925926,1682.897933104455,1642.1858636354666,0.0,9.094947017729282e-13
