date,B0,B1,B2,B1_minus_B0,B2_minus_B1
2025-02-01,22252.00467988426,23650.609154038986,22480.969987601486,1398.6044741547266,-1169.6391664375005
2025-02-02,58601.55634291614,59237.49817731436,57604.00340074028,635.9418343982179,-1633.4947765740799
2025-02-03,57406.89572385436,60252.36087404773,57844.803409134074,2845.4651501933695,-2407.5574649136543
2025-02-04,55011.11748276892,60409.83500478802,58245.33961983489,5398.717522019106,-2164.4953849531303
2025-02-05,56357.5719628058,56626.04208604003,56435.94616304935,268.47012323423405,-190.09592299068026
2025-02-06,55842.10959158965,60442.76314246836,57583.56079983806,4600.653550878706,-2859.2023426302985
2025-02-07,22640.43120632042,24306.307815060944,22931.613225609217,1665.8766087405238,-1374.6945894517266
2025-02-08,21045.059447583826,19398.363517667207,19925.99735587786,-1646.6959299166192,527.6338382106514
2025-02-09,55400.8534198608,58405.18747115028,57094.782425367,3004.3340512894792,-1310.4050457832855
2025-02-10,55627.41590939725,55328.6334342007,53126.14569416027,-298.7824751965454,-2202.4877400404366
2025-02-11,54668.0082071844,56081.22985376633,53656.183436906496,1413.2216465819292,-2425.0464168598337
2025-02-12,53709.1267627166,55285.45321002903,52953.221942804266,1576.326447312429,-2332.2312672247645
2025-02-13,53798.0179462945,51769.68557205009,50604.713718917505,-2028.3323742444118,-1164.9718531325852
2025-02-14,19711.9413034292,20262.873553485668,21004.96332665788,550.9322500564667,742.0897731722107
2025-02-15,19611.580528641658,19760.889747469828,19455.600207828254,149.30921882816983,-305.28953964157336
2025-02-16,50513.50657746455,55105.02754637883,53422.779293640524,4591.520968914279,-1682.2482527383036
2025-02-17,50536.07540423381,54289.67847400058,50707.585155328525,3753.603069766774,-3582.0933186720576
2025-02-18,50406.48305734466,48912.882600098696,49024.96220574693,-1493.6004572459642,112.07960564823588
2025-02-19,49270.141290448155,49026.695970372275,49787.707939123495,-243.44532007587986,761.0119687512197
2025-02-20,49459.32010909872,51318.535020334224,50087.66614562585,1859.2149112355037,-1230.8688747083725
2025-02-21,18344.16892369019,18230.70761254153,18472.750184689266,-113.46131114866148,242.0425721477368
2025-02-22,17958.454764846334,18290.73424699522,18353.76732198782,332.279482148886,63.03307499259972
2025-02-23,47152.877830407546,49615.15513186865,48416.06264134162,2462.277301461101,-1199.0924905270294
2025-02-24,48464.22487661413,48348.529187070795,47565.90108423654,-115.69568954333226,-782.6281028342564
2025-02-25,48564.992250457675,49689.67884060456,47299.55462297224,1124.6865901468846,-2390.1242176323212
2025-02-26,46938.34374719689,49917.08390161115,46667.981440470074,2978.740154414263,-3249.1024611410758
2025-02-27,47254.05250496433,45904.941070870635,46172.04082407668,-1349.1114340936983,267.0997532060428
2025-02-28,17836.829820460323,17805.96718455535,17729.837068093366,-30.862635904974013,-76.13011646198356
2025-03-01,17453.179596231366,19631.921488170152,19351.155732508436,2178.7418919387856,-280.76575566171596
2025-03-02,67391.6557427522,51428.610689962814,51382.224915949235,-15963.045052789392,-46.385774013579066
2025-03-03,50483.80997161771,56246.4221641647,50867.40494502277,5762.612192546992,-5379.017219141933
2025-03-04,48175.68491601767,45434.73222918182,46554.64168463057,-2740.9526868358516,1119.9094554487529
2025-03-05,47976.78278335098,48124.82809453179,46325.512075772276,148.04531118080922,-1799.316018759513
2025-03-06,46848.133699744045,44621.13863613558,44746.86713891181,-2226.9950636084614,125.72850277622638
2025-03-07,17152.347688632715,17950.402224401398,17500.854745632147,798.0545357686824,-449.54747876925103
2025-03-08,16341.988491542945,16606.518583009354,16455.155756668588,264.53009146640943,-151.36282634076633
2025-03-09,45954.86282516855,47038.49502725385,44895.43101860024,1083.6322020852967,-2143.0640086536077
2025-03-10,44960.81758953842,46058.65798681269,46062.13298860207,1097.8403972742672,3.475001789382077
2025-03-11,47606.46806937378,57751.111410431906,44684.92907268132,10144.643341058123,-13066.182337750586
2025-03-12,43892.93313904474,46497.467569453336,44041.80001761245,2604.5344304085957,-2455.6675518408883
2025-03-13,50169.28307574891,46202.06466531196,46515.346073522145,-3967.2184104369444,313.28140821018314
2025-03-14,16868.35478346792,16584.767602506847,17057.428874943504,-283.5871809610726,472.6612724366569
2025-03-15,16091.20900136869,15945.082147277724,16577.770057636135,-146.12685409096594,632.6879103584106
2025-03-16,44426.605628684156,44418.02119286834,44330.95488339344,-8.584435815813777,-87.06630947490339
2025-03-17,43015.67413623811,40700.0155584775,40428.11161149609,-2315.6585777606088,-271.9039469814088
2025-03-18,42572.37317813044,47216.02891970288,44355.172270362076,4643.655741572446,-2860.856649340807
2025-03-19,41618.47476714204,44013.66267265674,41836.49856076308,2395.1879055147,-2177.1641118936604
2025-03-20,42052.03607770525,45933.91490510082,42885.68068021365,3881.8788273955724,-3048.234224887172
