item,s0_yuan,s2_yuan,delta_yuan,delta_share_of_total
total,13353822.038919853,13330377.958340947,-23444.08057890646,-0.0017556082828255794
ordinary,12771312.06372612,12772385.328602955,1073.2648768350482,8.037136287326629e-05
adjustment,396263.2741960229,452943.4555164827,56680.181320459815,0.004244491289105459
emergency,186246.70099771133,105049.17422150937,-81197.52677620196,-0.006080470934804353
