区域,日期类型,原SLSQP状态,采用求解器,QP状态,epsilon_delta,delta_star_kW,新峰谷差_kW,原LP方差,QP方差,方差改善率_RJ,最大约束违反,e1_电量守恒,e2_转移闭合,e3_安全约束,e4_峰谷差保持,全部通过,z_lp,z_qp,changed
2,we,fallback_LP:Positive directional derivative for linesearch,CVXPY/CLARABEL,optimal,1e-06,1095.0,1095.0,107086.548889,83938.01317460318,21.616660499902103,0.0,0.0,0.0,-1506.142857616282,0.0,True,"[59.0, 933.0, 121.0, 182.0, 176.0, 70.0, 0.0]","[183.85714238371787, 244.85714233476367, 245.85714233609139, 306.8571423101759, 300.85714231364193, 194.85714244106217, 63.85714588054698]",True
5,wd,fallback_LP:Positive directional derivative for linesearch,CVXPY/CLARABEL,optimal,1e-06,1021.2,1021.2,102208.343264,73248.62754960317,28.334003653297707,2.2737367544323206e-13,0.0,2.2737367544323206e-13,-1189.7428573211364,0.0,True,"[118.0, 1088.8, 182.0, 176.0, 176.0, 65.0, 0.0]","[255.25714267886374, 318.2571426726854, 319.2571426725743, 313.2571426727627, 313.25714267273435, 202.25714275029952, 84.25714388008026]",True
7,wd,fallback_LP:Positive directional derivative for linesearch,CVXPY/CLARABEL,optimal,1e-06,504.6,504.6,23190.3275,14841.974166666667,35.999290365059885,9.094947017729282e-13,9.094947017729282e-13,0.0,-1032.6000008985613,0.0,True,"[15.0, 568.6, 216.2, 66.0, 66.0, 0.0, 0.0]","[124.39999910143871, 173.39999906710318, 178.39999906637135, 175.39999906978355, 175.39999907120597, 78.39999935882038, 26.400005265276995]",True
8,wd,fallback_LP:Positive directional derivative for linesearch,CVXPY/CLARABEL,optimal,1e-06,725.0,725.0,61287.608889,43726.163082270825,28.654153955549628,2.2737367544323206e-13,0.0,2.2737367544323206e-13,-1409.7000016512097,0.0,True,"[47.0, 782.0, 56.0, 56.0, 46.0, 114.8, 0.0]","[186.29999834879027, 196.2999983468089, 195.29999834771883, 195.29999834889836, 185.29999835266048, 143.29999845135848, 9.80376473036027e-06]",True
10,we,fallback_LP:Positive directional derivative for linesearch,CVXPY/CLARABEL,optimal,1e-06,717.0,717.0,71260.729931,52378.31745935365,26.49764111303619,1.1368683772161603e-13,0.0,1.1368683772161603e-13,-1205.3000022463166,0.0,True,"[0.0, 0.0, 55.0, 55.0, 55.0, 277.2, 536.0]","[95.6999977536835, 154.69999769270228, 210.699997663084, 210.6999976651951, 210.69999766651787, 95.69999789964469, 1.3659172535420305e-05]",True
