strategy_id,predictor,alpha,source,natural_total_yuan,template_total_yuan,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,emergency_kWh,emergency_intervals,emergency_days,emergency_events,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,initial_state_kWh,final_natural_state_kWh,final_template_state_kWh,settlement_residual_yuan,physics_residual_kWh,truth_residual_kWh,truth_compared_cells,inventory_value_coefficient_yuan_per_kWh,cost_net_of_inventory_yuan,solves_total,solves_plan,solves_revision,revision_decisions,revisions_accepted,revisions_rejected,candidate_revision_kWh,accepted_revision_kWh,max_solver_gap,solver_seconds_total,max_feasibility_violation_kWh,accepted_06,decisions_06,accepted_12,decisions_12,accepted_18,decisions_18
L80,linear,0.8,read-only reuse of results/q3_rolling_baseline/B2_dispatch.csv,13492312.266087154,13492578.670495674,12930615.16877282,431866.10524992,129830.99206441411,25269.234552697864,449,108,186,1878818.701456464,6392480.553096918,5181862.8553920435,1215010.594797697,6075.795025925926,1682.897933104455,1642.1858636354666,6.821210263296962e-13,4.604316927725449e-12,2.2737367544323206e-13,48097,0.8970555555555555,13496252.938829252,1336,334,1002,1002,873,129,1803044.7981760874,1803044.7979760868,5.648626568456622e-16,26.52095910045312,4.41321863218036e-07,334,334,334,334,205,334
L75,linear,0.75,new 334-day rolling run,13353822.038919853,13354083.552569441,12771312.063726118,396263.2741960229,186246.70099771133,36526.874321672105,667,139,269,1661515.6223083674,6482273.537769478,5254758.577492982,1232089.4179428348,6075.795025925926,1501.3373595881317,1447.2448202638955,0.0,9.094947017729282e-13,0.0,48097,0.8970555555555555,13357925.581583096,1336,334,1002,1002,902,100,1696286.4125374982,1696286.4125374975,4.934883533766942e-16,26.227091399254277,2.1871393585115584e-09,334,334,334,334,234,334
C80,corrected,0.8,new 334-day rolling run,13512335.469401909,13512601.87381043,12931411.333380837,444874.2359984701,136049.90002260252,26575.199295623082,440,104,181,1880648.0460999748,6385953.378911705,5176575.844393092,1213770.431712625,6075.795025925926,1682.8978319139799,1642.1857624449915,0.0,9.094947017729282e-13,0.0,48097,0.8970555555555555,13516276.142234782,1336,334,1002,1002,906,96,1851698.868310044,1851698.8683100436,5.029832788972687e-16,27.86170980357565,9.755714754552022e-09,334,334,334,334,238,334
C75,corrected,0.75,new 334-day rolling run,13375077.139101189,13375338.652750777,12770986.871410854,409255.58440980845,194834.68328052794,38302.84321096969,654,138,266,1663702.0767977578,6477249.120237377,5250688.799063128,1231134.7785863075,6075.795025925926,1501.3376138672306,1447.2450745429944,0.0,9.094947017729282e-13,0.0,48097,0.8970555555555555,13379180.681536328,1336,334,1002,1002,913,89,1749874.6724936329,1749874.6724857315,5.698642175070509e-16,28.54840049566701,9.343452380562667e-07,334,334,334,334,245,334
