strategy_id,date,day_index,elapsed_seconds,mip_gap,mip_node_count,mip_dual_bound_yuan,objective_gap_yuan,fallback,residual_days,reason,check_bus_balance_max_abs_kWh,check_battery_balance_max_abs_kWh,check_boundary_error_kWh,check_state_bound_violation_kWh,check_flow_bound_violation_kWh,check_simultaneous_charge_discharge_kWh,check_binary_integrality_error,check_binary_bound_violation,check_binary_gate_violation_kWh
G2_pv_gate,2025-02-01,31,0.035692800069227815,0.0,1,25297.123926212862,0.0,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0
G2_pv_gate,2025-02-02,32,0.02621069992892444,0.0,1,59958.58039989196,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0
G2_pv_gate,2025-02-03,33,0.021544799907132983,0.0,1,58214.00394550506,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,7.771561172376096e-16,0.0,0.0
G2_pv_gate,2025-02-04,34,0.02344650006853044,0.0,1,58271.93147940308,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.6653345369377348e-15,0.0,0.0
G2_pv_gate,2025-02-05,35,0.034463000018149614,0.0,1,56575.46862088833,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,3.1086244689504383e-15,0.0,0.0
G2_pv_gate,2025-02-06,36,0.03791279997676611,0.0,1,57751.32974795452,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,4.218847493575595e-15,4.218847493575595e-15,3.5157062446463288e-12
G2_pv_gate,2025-02-07,37,0.06336920009925961,0.0,1,23068.992108286824,0.0,False,28,,2.2737367544323206e-13,3.069544618483633e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-08,38,0.051343800034374,0.0,1,20796.317612376926,0.0,False,28,,2.2737367544323206e-13,2.3021584638627246e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-09,39,0.0341261001303792,0.0,1,54103.90603539423,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.7755575615628914e-15,0.0,0.0
G2_pv_gate,2025-02-10,40,0.017494000028818846,0.0,1,55275.874293344576,0.0,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-11,41,0.018846299964934587,0.0,1,53636.0678705536,7.275957614183426e-12,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-12,42,0.03572169994004071,0.0,1,53256.22648242522,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,5.134781488891333e-15,0.0,0.0
G2_pv_gate,2025-02-13,43,0.023875199956819415,0.0,1,52717.13502289384,-7.275957614183426e-12,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,4.6629367034256575e-15,8.881784197001252e-16,7.401486830834376e-13
G2_pv_gate,2025-02-14,44,0.03685520007275045,0.0,1,19305.91428055779,0.0,False,28,,2.2737367544323206e-13,1.1937117960769683e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-15,45,0.06320049986243248,0.0,1,19136.09979706068,0.0,False,28,,2.2737367544323206e-13,1.3926637620897964e-12,0.0,0.0,0.0,0.0,5.551115123125766e-16,0.0,0.0
G2_pv_gate,2025-02-16,46,0.03146589989773929,0.0,1,50878.93269151712,0.0,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-17,47,0.01793329999782145,0.0,1,50433.2189266145,7.275957614183426e-12,False,28,,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-18,48,0.023893600096926093,0.0,1,49997.27219143834,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15,9.25185853854297e-13
G2_pv_gate,2025-02-19,49,0.025149199878796935,0.0,1,49422.55629902475,0.0,False,28,,1.1368683772161603e-13,8.633094239485217e-13,0.0,0.0,0.0,0.0,2.6645352591003757e-15,8.881784197001252e-16,7.401486830834376e-13
G2_pv_gate,2025-02-20,50,0.031339599983766675,0.0,1,49266.39483907866,0.0,False,28,,1.1368683772161603e-13,8.242295734817162e-13,0.0,0.0,0.0,0.0,6.8833827526759706e-15,0.0,0.0
G2_pv_gate,2025-02-21,51,0.02950619999319315,0.0,1,18624.723130270628,0.0,False,28,,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.7053025658242404e-12,0.0,8.881784197001252e-15,2.6645352591003757e-15,2.220446049250313e-12
G2_pv_gate,2025-02-22,52,0.03288910002447665,0.0,1,18493.79427594434,0.0,False,28,,2.2737367544323206e-13,8.526512829121202e-13,0.0,0.0,0.0,0.0,8.881784197001252e-15,8.881784197001252e-15,7.401486830834376e-12
G2_pv_gate,2025-02-23,53,0.024515300057828426,0.0,1,48665.64188167022,7.275957614183426e-12,False,28,,1.1368683772161603e-13,9.023892744153272e-13,0.0,0.0,0.0,0.0,5.662137425588298e-15,0.0,0.0
G2_pv_gate,2025-02-24,54,0.02614119998179376,0.0,1,48080.40462168999,0.0,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.55351295663786e-15,1.9984014443252818e-15,1.6653345369377346e-12
G2_pv_gate,2025-02-25,55,0.023150100139901042,0.0,1,47795.52120397146,0.0,False,28,,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,0.0,3.3306690738754696e-15,1.9984014443252818e-15,1.6653345369377346e-12
G2_pv_gate,2025-02-26,56,0.046401500003412366,0.0,1,47179.2740793439,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-02-27,57,0.03228119993582368,0.0,1,46453.34675562355,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.3322676295501878e-14,1.3322676295501878e-14,1.1102230246251564e-11
G2_pv_gate,2025-02-28,58,0.031436200020834804,0.0,1,17862.929515787768,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1.1368683772161603e-12,0.0,7.993605777301127e-15,1.9984014443252818e-15,1.6653345369377346e-12
G2_pv_gate,2025-03-01,59,0.06328370003029704,0.0,1,17935.438746499396,0.0,False,28,,2.2737367544323206e-13,1.1937117960769683e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-03-02,60,0.029024099931120872,0.0,1,46691.22751912035,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.2212453270876722e-14,1.2212453270876722e-14,1.0177044392397267e-11
G2_pv_gate,2025-03-03,61,0.02614020020700991,0.0,1,48220.26816424014,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.0,0.0
G2_pv_gate,2025-03-04,62,0.02824979997240007,0.0,1,50728.04164617402,0.0,False,28,,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-03-05,63,0.02374249999411404,0.0,1,49396.26380792189,0.0,False,28,,1.1368683772161603e-13,7.958078640513122e-13,0.0,0.0,0.0,0.0,1.1102230246251565e-15,0.0,0.0
G2_pv_gate,2025-03-06,64,0.023567500058561563,0.0,1,47784.608379640544,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.4424906541753444e-15,4.440892098500626e-16,3.700743415417188e-13
G2_pv_gate,2025-03-07,65,0.05576490005478263,0.0,1,17563.526299883364,0.0,False,28,,2.2737367544323206e-13,1.6484591469634324e-12,0.0,4.547473508864641e-13,5.689451990756385e-13,0.0,2.0426145890054218e-15,2.0426145890054218e-15,1.1969039898528912e-12
G2_pv_gate,2025-03-08,66,0.02479510009288788,0.0,1,16862.316704331763,0.0,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,4.6629367034256575e-15,0.0,0.0
G2_pv_gate,2025-03-09,67,0.030780900036916137,0.0,1,44877.64118174735,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,8.45103618026322e-15,0.0,0.0
G2_pv_gate,2025-03-10,68,0.025979300029575825,0.0,1,43920.1611354464,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.0412723315168565e-14,1.0412723315168565e-14,8.677269429307137e-12
G2_pv_gate,2025-03-11,69,0.029032399877905846,0.0,1,45451.28216512788,0.0,False,28,,1.1368683772161603e-13,7.283063041541027e-13,0.0,0.0,0.0,0.0,7.771561172376096e-15,7.771561172376096e-15,6.476300976980079e-12
G2_pv_gate,2025-03-12,70,0.022837999975308776,0.0,1,44413.65723167449,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,3.219646771412954e-15,2.3869795029440866e-15,1.9891495857867385e-12
G2_pv_gate,2025-03-13,71,0.027857600012794137,0.0,1,42889.68351924765,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,5.995204332975845e-15,4.440892098500626e-16,3.700743415417188e-13
G2_pv_gate,2025-03-14,72,0.03908809996210039,0.0,1,16367.709839889927,0.0,False,28,,5.684341886080802e-14,9.663381206337363e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G2_pv_gate,2025-03-15,73,0.07092519989237189,1.1191594832725892e-16,1,16253.174196646756,1.8189894035458565e-12,False,28,,2.2737367544323206e-13,1.7053025658242404e-12,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,3.700743415417188e-13
G2_pv_gate,2025-03-16,74,0.04511469998396933,0.0,1,44121.51023277162,0.0,False,28,,1.1368683772161603e-13,8.739675649849232e-13,0.0,0.0,0.0,0.0,9.547918011776346e-15,9.547918011776346e-15,7.956598343146954e-12
G2_pv_gate,2025-03-17,75,0.02194250002503395,0.0,1,43580.49951137242,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.098321516541546e-14,0.0,0.0
G2_pv_gate,2025-03-18,76,0.04083449998870492,0.0,1,41740.787174152916,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,5.662137425588298e-15,4.884981308350689e-15,4.070817756958907e-12
G2_pv_gate,2025-03-19,77,0.03991640009917319,0.0,1,42668.07791816403,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,5.329070518200751e-15,5.329070518200751e-15,4.440892098500626e-12
G2_pv_gate,2025-03-20,78,0.044965900015085936,0.0,1,42423.23426302184,0.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,4.3298697960381105e-15,3.1086244689504383e-15,2.5905203907920318e-12
G2_pv_gate,2025-03-21,79,0.15705569996498525,0.0,1,15952.40290670869,0.0,False,28,,2.2737367544323206e-13,1.0800249583553523e-12,0.0,0.0,2.8421709430404007e-12,8.374663728110777e-13,0.0,0.0,8.374663728110777e-13
G2_pv_gate,2025-03-22,80,0.05855089984834194,0.0,1,16319.147892444,0.0,False,28,,5.684341886080802e-14,9.094947017729282e-13,0.0,0.0,1.5053280135897172e-12,1.1865819955677386e-12,6.206146707654625e-14,2.220446049250313e-15,1.850371707708594e-12
G2_pv_gate,2025-03-23,81,0.031228699954226613,0.0,1,40849.862505059245,0.0,False,28,,1.1368683772161603e-13,8.171241461241152e-13,0.0,0.0,0.0,0.0,6.217248937900877e-15,6.76179013239489e-16,1.8015218946250828e-12
