方案,区域,年份,当年新增快充,当年新增慢充,当年新增总数,当年新增成本_万元,累计快充,累计慢充,累计服务能力,当年预测需求,服务保障率_raw,服务保障率_pct,地理覆盖率_raw,地理覆盖率_pct,是否满足服务约束
R-Free,6,2028,0,0,0,0,124,81,11540,1529.565714,7.544625178,754.4625178,0.9046429655,90.46429655,是
R-Free,7,2026,117,78,195,764.4,162,108,15120,692.7928571,21.82470539,2182.470539,0.9013512547,90.13512547,是
R-Free,7,2027,0,0,0,0,162,108,15120,796.7117857,18.97800468,1897.800468,0.9013512547,90.13512547,是
R-Free,7,2028,0,0,0,0,162,108,15120,916.2185536,16.50261277,1650.261277,0.9013512547,90.13512547,是
R-Free,8,2026,94,62,156,613.6,153,101,14260,1071.307143,13.3108419,1331.08419,0.906840577,90.6840577,是
R-Free,8,2027,0,0,0,0,153,101,14260,1232.003214,11.57464513,1157.464513,0.906840577,90.6840577,是
R-Free,8,2028,0,0,0,0,153,101,14260,1416.803696,10.06490881,1006.490881,0.906840577,90.6840577,是
R-Free,9,2026,138,92,230,901.6,177,118,16520,1324.635714,12.47135331,1247.135331,0.9052708724,90.52708724,是
R-Free,9,2027,0,0,0,0,177,118,16520,1523.331071,10.84465505,1084.465505,0.9052708724,90.52708724,是
R-Free,9,2028,0,0,0,0,177,118,16520,1751.830732,9.430134828,943.0134828,0.9052708724,90.52708724,是
R-Free,10,2026,21,13,34,136.4,74,48,6880,847.2214286,8.120663345,812.0663345,0.9014472075,90.14472075,是
R-Free,10,2027,0,0,0,0,74,48,6880,974.3046429,7.061446387,706.1446387,0.9014472075,90.14472075,是
R-Free,10,2028,0,0,0,0,74,48,6880,1120.450339,6.140388162,614.0388162,0.9014472075,90.14472075,是
