date,day_bias_kWh,day_mae_kWh
2025-02-01,-34.779801504629624,45.49881817129629
2025-02-02,-42.373196875,45.86038923611112
2025-02-03,-14.419021064814805,35.145552083333335
2025-02-04,-20.24232280092592,40.41288252314814
2025-02-05,-29.817937384259253,40.5958832175926
2025-02-06,-31.231495023148145,39.501463541666666
2025-02-07,-43.21621412037038,54.52277314814816
2025-02-08,-2.535599305555552,46.835519212962964
2025-02-09,14.021306365740736,37.503721875000004
2025-02-10,-43.643359837962976,54.20120266203704
2025-02-11,5.5098973379629665,26.656960300925927
2025-02-12,-3.497665393518522,27.15232372685185
2025-02-13,-33.51088148148148,46.30132013888889
2025-02-14,25.09728877314815,43.67302604166667
2025-02-15,-2.749029745370376,28.114390162037033
2025-02-16,4.194004745370361,30.426946643518527
2025-02-17,-30.51460532407406,46.19842523148148
2025-02-18,2.9626098379629573,29.64719872685184
2025-02-19,5.245541319444445,31.13298159722222
2025-02-20,-9.233911458333333,39.953799652777775
2025-02-21,-1.390643171296292,30.821683217592586
2025-02-22,14.11076828703704,32.248395601851854
2025-02-23,-13.247529282407397,33.94567372685186
2025-02-24,-21.854527430555564,40.90588275462964
2025-02-25,-21.41661851851851,36.40830300925926
2025-02-26,15.417108101851856,36.01595925925925
2025-02-27,-13.213796875000012,42.00576539351852
2025-02-28,7.871501736111112,44.40307835648148
2025-03-01,0.479431018518519,47.64423217592593
2025-03-02,-1.3780531250000019,65.12323252314815
2025-03-03,-21.595360416666665,47.258561111111106
2025-03-04,-41.335249884259255,49.50864780092592
2025-03-05,-41.602048958333334,55.08116215277778
2025-03-06,-18.860159606481474,41.20248344907408
2025-03-07,-18.95748611111111,37.83061689814814
2025-03-08,-16.826004976851852,36.272365162037026
2025-03-09,-8.648055324074075,32.540270833333324
2025-03-10,30.852689583333333,49.912104861111104
2025-03-11,-29.854953240740752,48.413805555555555
2025-03-12,-14.42552083333333,31.402578240740738
2025-03-13,38.532789004629635,60.615904513888886
2025-03-14,-34.43941967592592,62.8751175925926
2025-03-15,32.353170370370364,52.97821388888889
2025-03-16,-17.646409259259258,50.79567407407407
2025-03-17,-37.86641585648149,47.81843090277778
2025-03-18,24.040942939814816,44.79403020833334
2025-03-19,-17.49514699074074,28.033534490740752
2025-03-20,12.415085532407415,37.98553900462963
2025-03-21,-32.1943369212963,50.32522372685186
2025-03-22,25.80753923611111,44.77911747685185
2025-03-23,-21.9289310185185,44.01950648148148
2025-03-24,-5.033802546296311,48.15266342592593
2025-03-25,21.69010185185186,46.98003472222222
2025-03-26,-31.846944675925936,54.45320462962964
2025-03-27,22.08805972222222,42.06583958333332
2025-03-28,-17.611406134259262,40.091480671296296
2025-03-29,-21.943290625000003,36.43148553240739
2025-03-30,14.004935532407396,39.939222337962946
2025-03-31,15.10628483796296,46.014988310185196
2025-04-01,15.833054398148152,46.58441851851851
2025-04-02,3.3958498842592633,49.93089872685184
2025-04-03,-31.512319791666666,64.32400104166666
2025-04-04,-23.88916099537038,44.30442233796297
2025-04-05,36.32491030092594,53.46352835648148
2025-04-06,-21.013902777777773,40.64715416666667
2025-04-07,-7.205500115740746,43.329207060185176
2025-04-08,1.10048657407407,59.484248379629626
2025-04-09,31.304015393518526,56.97280914351851
2025-04-10,-33.893101967592585,56.25559988425927
2025-04-11,-22.298881018518518,50.59067152777777
2025-04-12,22.206698379629625,49.522662499999996
2025-04-13,0.020438310185183026,38.53638877314815
2025-04-14,-10.280600810185176,36.16704641203704
2025-04-15,-15.281392708333316,54.24889201388888
2025-04-16,34.85795659722222,57.35641145833332
2025-04-17,-18.437952893518528,40.135375810185174
2025-04-18,-7.772078356481491,40.7532295138889
2025-04-19,-0.2530857638888951,39.75211006944445
2025-04-20,-1.420702893518514,38.24060613425925
2025-04-21,-28.780491898148153,53.58354282407406
2025-04-22,35.144108680555554,52.71626331018518
2025-04-23,-6.020115624999988,33.40113946759259
2025-04-24,-26.155124189814817,49.047829745370365
2025-04-25,6.374036574074086,33.852817361111114
2025-04-26,-14.390681712962975,68.43647824074075
2025-04-27,23.655455324074076,41.092184027777776
2025-04-28,45.829033217592595,74.64387164351851
2025-04-29,-65.71148483796297,77.1052082175926
2025-04-30,0.3186435185185148,56.278027314814814
2025-05-01,20.414065393518527,69.39783576388889
2025-05-02,82.50141666666667,87.14380648148148
2025-05-03,-19.18781990740741,57.78936597222222
2025-05-04,5.068211342592594,58.644766435185176
2025-05-05,44.95918680555554,73.67663310185183
2025-05-06,8.010282754629632,50.70587118055556
2025-05-07,38.417173379629624,57.92069143518519
2025-05-08,10.793732986111117,47.839468402777776
2025-05-09,-11.407471527777778,45.701314583333335
2025-05-10,20.69885833333333,46.81627013888888
2025-05-11,-18.465717939814823,49.82436863425926
2025-05-12,-23.763592361111105,69.33796921296296
2025-05-13,4.371048958333339,54.42276238425925
2025-05-14,-6.983662500000005,36.33621041666666
2025-05-15,-0.7122403935185164,46.463353587962956
2025-05-16,-32.67407905092593,54.2064894675926
2025-05-17,53.93507118055556,69.14952233796296
2025-05-18,-15.563826157407398,61.17418541666666
2025-05-19,-41.128598379629636,66.82204097222221
2025-05-20,47.325935069444455,71.84375636574075
2025-05-21,-23.050049189814814,57.564109606481466
2025-05-22,0.9635902777777664,43.71154560185184
2025-05-23,4.532314814814814,38.612346296296295
2025-05-24,-20.53884409722222,53.24653854166665
2025-05-25,-8.352155439814815,47.58592604166667
2025-05-26,43.62716932870371,65.52157002314814
2025-05-27,-43.188013888888904,56.6023800925926
2025-05-28,18.383561574074083,60.188436574074075
2025-05-29,14.086573611111106,43.92479328703704
2025-05-30,-14.291391319444452,57.05744942129628
2025-05-31,11.88440937500001,51.463471643518524
2025-06-01,120.09791481481483,123.78129907407407
2025-06-02,43.44841539351851,112.1744943287037
2025-06-03,52.67547928240742,76.96338993055556
2025-06-04,66.7214398148148,90.9337997685185
2025-06-05,66.69851747685183,78.84603622685184
2025-06-06,94.09287199074075,102.6221800925926
2025-06-07,57.22639016203703,69.26610729166667
2025-06-08,-76.62076516203703,88.72213645833332
2025-06-09,41.20971620370369,60.78436550925926
2025-06-10,5.403325810185186,46.15195358796297
2025-06-11,23.198960300925922,53.90166400462962
2025-06-12,-26.745126620370357,50.18113935185185
2025-06-13,6.023057291666668,57.015390624999995
2025-06-14,-23.74402986111111,55.64597291666666
2025-06-15,-10.97331909722222,50.832879282407404
2025-06-16,8.797048726851843,50.60173414351852
2025-06-17,14.910407175925933,51.80369699074075
2025-06-18,-32.17738217592592,51.22526851851851
2025-06-19,-24.177921990740746,57.32203055555554
2025-06-20,-2.773936458333332,45.02614687500001
2025-06-21,-29.041096180555567,56.84767025462964
2025-06-22,15.012367939814816,67.2000670138889
2025-06-23,-10.244619444444446,46.35393425925926
2025-06-24,59.62933842592593,83.0857550925926
2025-06-25,-39.08058877314815,58.922081134259265
2025-06-26,-27.282611111111105,52.12112106481481
2025-06-27,-15.384529976851853,45.61468090277778
2025-06-28,1.1143781250000038,45.38782974537037
2025-06-29,11.201064583333348,58.23210694444444
2025-06-30,2.1100769675925943,49.73588692129629
2025-07-01,54.328719560185185,81.24723738425926
2025-07-02,64.40739560185185,89.36481412037035
2025-07-03,148.31156539351852,148.3693836805556
2025-07-04,77.24119560185186,107.88718032407408
2025-07-05,104.46323229166666,108.71859363425926
2025-07-06,142.30505393518519,142.92667916666667
2025-07-07,61.89413391203703,89.85373715277778
2025-07-08,14.655884259259258,62.916552777777774
2025-07-09,-9.903425115740731,60.93276215277779
2025-07-10,-15.138439583333346,56.81486018518519
2025-07-11,30.09465462962963,67.86612199074074
2025-07-12,-17.821391087962965,54.8389607638889
2025-07-13,-53.76893391203704,65.36958993055555
2025-07-14,6.513410763888879,50.0322269675926
2025-07-15,4.990054398148144,57.357767824074095
2025-07-16,-11.52798263888889,52.54715740740741
2025-07-17,3.3859431712962973,60.3500068287037
2025-07-18,23.485436921296287,55.736918402777775
2025-07-19,-39.66477048611111,56.941230208333344
2025-07-20,-2.9283674768518475,49.43704710648149
2025-07-21,-2.8618997685185104,47.206884953703714
2025-07-22,-9.00658055555555,51.56477662037037
2025-07-23,-2.9791949074073987,56.513276157407404
2025-07-24,-4.994449652777784,55.45884293981482
2025-07-25,-13.243111921296288,53.162018171296296
2025-07-26,-1.7077133101851871,50.52902719907408
2025-07-27,-2.4079902777777815,51.023426620370365
2025-07-28,27.34072164351852,57.14043692129629
2025-07-29,-22.024247685185188,52.17448217592593
2025-07-30,-21.53666967592593,56.63157384259259
2025-07-31,0.790896759259261,56.94680648148147
2025-08-01,-58.16085115740743,73.59896574074075
2025-08-02,-5.5041706018518495,44.05540393518518
2025-08-03,-32.190951504629616,58.20415405092592
2025-08-04,16.733769560185177,48.569911921296274
2025-08-05,-1.8471077546296186,44.25024016203703
2025-08-06,6.918210995370369,58.129117939814805
2025-08-07,-37.73361064814813,65.75339768518518
2025-08-08,-24.17696967592592,49.90993333333334
2025-08-09,15.887011458333339,52.99879548611112
2025-08-10,-9.55530798611111,44.148218865740745
2025-08-11,-17.500194097222227,52.02270937500001
2025-08-12,21.965670486111108,53.92848506944445
2025-08-13,-11.93093958333333,48.39116921296296
2025-08-14,-3.4544843749999994,54.00931331018517
2025-08-15,-24.53975590277778,50.76712581018519
2025-08-16,-3.9320868055555582,45.949256018518525
2025-08-17,-0.8041744212962938,55.393409143518525
2025-08-18,1.2192707175925916,53.97547789351851
2025-08-19,-6.971371874999997,47.96898692129629
2025-08-20,35.76053275462963,65.94484641203704
2025-08-21,-39.543571412037046,65.52263136574075
2025-08-22,2.707583680555558,46.77828622685186
2025-08-23,11.441922222222221,53.02521643518518
2025-08-24,-31.03046481481482,65.97875972222222
2025-08-25,44.426348726851856,70.43243090277777
2025-08-26,-42.34123449074074,56.40532245370371
2025-08-27,11.848894097222212,42.75477604166667
2025-08-28,11.598814699074072,69.25548622685187
2025-08-29,-29.170058796296296,58.427035879629635
2025-08-30,-37.57857083333333,62.929961342592605
2025-08-31,14.520273842592587,56.67591018518519
2025-09-01,-98.74126712962963,104.007725
2025-09-02,-87.65085659722223,110.21672488425926
2025-09-03,-74.76108715277778,86.05342465277778
2025-09-04,-102.30730439814815,113.78040879629629
2025-09-05,-99.78099583333334,110.62497175925927
2025-09-06,-90.24503541666667,122.85974745370373
2025-09-07,-71.52142881944445,96.31513553240741
2025-09-08,27.444275578703703,51.10721030092593
2025-09-09,-44.617826273148154,65.14115590277777
2025-09-10,54.595024537037034,79.92675625
2025-09-11,-52.821509837962964,70.19167372685185
2025-09-12,25.4817244212963,46.89768645833333
2025-09-13,-25.581262268518515,51.248174999999996
2025-09-14,44.26942604166667,65.79267233796297
2025-09-15,-36.0777144675926,63.261437615740746
2025-09-16,28.489817013888878,51.34641909722221
2025-09-17,7.200815277777774,45.22264629629629
2025-09-18,-5.736462731481494,33.34418078703704
2025-09-19,15.709655902777785,44.261658912037035
2025-09-20,-1.613716898148149,46.138757175925925
2025-09-21,-22.67301585648148,56.26992071759259
2025-09-22,16.86656597222223,36.990980787037046
2025-09-23,6.092221990740752,40.59999097222222
2025-09-24,-5.527112152777772,45.03263530092592
2025-09-25,-3.5951329861110994,38.55285590277778
2025-09-26,18.1806616898148,46.61626284722222
2025-09-27,-7.148021990740732,60.532795833333324
2025-09-28,5.345942245370376,48.544051967592594
2025-09-29,-10.806664699074073,33.400092013888894
2025-09-30,17.995948842592597,41.79461805555556
2025-10-01,-110.1277193287037,113.07637094907409
2025-10-02,-8.740492013888879,67.55170636574076
2025-10-03,-6.085231597222219,43.715998958333344
2025-10-04,5.953111921296296,55.61660219907408
2025-10-05,-44.11268136574075,53.17893483796297
2025-10-06,-3.5405952546296313,42.28848553240741
2025-10-07,-20.707397106481487,47.20056956018519
2025-10-08,-8.016273726851844,33.497623726851856
2025-10-09,-3.883065393518529,35.286304513888886
2025-10-10,-3.5248067129629583,34.3483298611111
2025-10-11,32.89456909722222,48.43204594907407
2025-10-12,-9.755651041666665,36.572305902777764
2025-10-13,-11.627171064814815,33.09021342592594
2025-10-14,28.2431193287037,42.767721874999985
2025-10-15,12.412230555555563,33.07133749999999
2025-10-16,6.638474537037043,32.5651275462963
2025-10-17,-11.114773726851853,36.492543402777784
2025-10-18,1.559734259259269,27.98985995370371
2025-10-19,12.197545370370367,35.05334328703702
2025-10-20,6.031620717592593,38.153622337962965
2025-10-21,13.145058680555552,33.32039895833333
2025-10-22,-3.1202530092592746,36.99652916666667
2025-10-23,-15.532565740740734,40.5778787037037
2025-10-24,2.148587962962968,34.406420833333335
2025-10-25,10.119438194444434,31.489253935185175
2025-10-26,-5.573479861111099,30.04461134259259
2025-10-27,-10.227115624999993,39.78914293981481
