strategy_id,subset,samples,pv_mae_kW,pv_rmse_kW,pv_bias_kW,mean_positive_forecast_kW,share_of_slots
R0_naive,all,48096,185.34649152736193,375.1748781365903,-0.7610173132900867,2379.614559514305,1.0
R0_naive,actual_gt_100kW,23991,371.3535753407528,531.2044570222803,-1.4803611937810008,4769.437116168563,0.498814870259481
R0_naive,actual_le_100kW,24105,0.21909274009541588,1.7411257291547748,-0.04507543248288737,1.0942128355113045,0.501185129740519
R0_naive,actual_zero,21216,0.005065191365007542,0.1611961561175628,-0.005065191365007542,0.005065191365007542,0.4411177644710579
R1_load_ridge,all,48096,185.34649152736193,375.1748781365903,-0.7610173132900867,2379.614559514305,1.0
R1_load_ridge,actual_gt_100kW,23991,371.3535753407528,531.2044570222803,-1.4803611937810008,4769.437116168563,0.498814870259481
R1_load_ridge,actual_le_100kW,24105,0.21909274009541588,1.7411257291547748,-0.04507543248288737,1.0942128355113045,0.501185129740519
R1_load_ridge,actual_zero,21216,0.005065191365007542,0.1611961561175628,-0.005065191365007542,0.005065191365007542,0.4411177644710579
R2_pv_ridge,all,48096,154.65611941860212,303.4147192508477,-6.170109364135091,2385.0236515651495,1.0
R2_pv_ridge,actual_gt_100kW,23991,300.6417212879567,429.17210962074984,-3.135049614097634,4771.09180458888,0.498814870259481
R2_pv_ridge,actual_le_100kW,24105,9.360928609737279,19.182982751861342,-9.190815377955818,10.239952780984236,0.501185129740519
R2_pv_ridge,actual_zero,21216,8.319382673972624,16.61894006029779,-8.319382673972624,8.319382673972624,0.4411177644710579
R3_both_ridge,all,48096,154.65611941860212,303.4147192508477,-6.170109364135091,2385.0236515651495,1.0
R3_both_ridge,actual_gt_100kW,23991,300.6417212879567,429.17210962074984,-3.135049614097634,4771.09180458888,0.498814870259481
R3_both_ridge,actual_le_100kW,24105,9.360928609737279,19.182982751861342,-9.190815377955818,10.239952780984236,0.501185129740519
R3_both_ridge,actual_zero,21216,8.319382673972624,16.61894006029779,-8.319382673972624,8.319382673972624,0.4411177644710579
