weekday,days,mean_bias_kWh,mean_abs_bias_kWh
0,48,0.9909176552854922,22.153444637345675
1,48,1.5089581645447538,23.493571277006172
2,48,0.45008471739969136,21.90530148051697
3,47,-4.715345892434988,23.061699940898347
4,47,-0.4767259407013397,23.46330675728921
5,48,2.5945333285108023,20.754872892554015
6,48,-1.8388648437499995,22.230191169945986
