month,days,mean_bias_kWh,daily_mae_kWh
2025-02,28,-11.37350464616402,38.78893997189153
2025-03,31,-6.907031179062127,45.8496539463859
2025-04,30,-2.598396373456789,50.02523479938271
2025-05,31,4.860165796744325,56.47404030391278
2025-06,30,12.377494787808642,64.57676062885803
2025-07,31,17.183649380227003,67.99549613201911
2025-08,31,-7.191534628882915,55.35983016353047
2025-09,30,-19.11781119984568,63.5357590779321
2025-10,31,-3.4301204226403827,42.058970422640385
2025-11,30,2.747891222993827,33.04399757330247
2025-12,31,10.001825694444443,38.44308219086021
