strategy_id,hour,load_mae,pv_mae,net_mae,net_bias
R0_naive,0,180.4179123253493,0.0,180.4179123253493,-1.5981351796407237
R0_naive,1,180.33516047904192,0.0,180.33516047904192,-1.6582524950099777
R0_naive,2,172.89767814371257,0.0,172.89767814371257,-1.7089135728542941
R0_naive,3,166.39013158682636,0.00014760479041916165,166.39013468063874,-1.4150046407185617
R0_naive,4,166.40304341317366,0.040886776447105797,166.4079127245509,-1.7255314870259506
R0_naive,5,164.2931661177645,18.701557085828345,167.4640104291417,-3.58947729540918
R0_naive,6,157.97209520958086,95.59225244510978,195.41663617764468,-2.2446033433133743
R0_naive,7,163.6117426147705,218.29200903193612,284.0996894710579,-1.0226014471057927
R0_naive,8,160.5564382235529,336.9044718063873,382.37329775449103,-1.7315173153692631
R0_naive,9,158.48193018962075,470.62199351297403,498.99283148702597,-1.8032353792415194
R0_naive,10,158.1851463073852,557.0780589820359,588.8685504990019,-0.7791663672654715
R0_naive,11,170.27670903193612,610.5103845309382,642.7039051397205,-1.3769355788423152
R0_naive,12,173.82110668662676,613.8959916167664,642.6549645708584,-0.30704301397205624
R0_naive,13,174.9092211576846,514.1034047405188,545.7135825848303,-0.5402776946107778
R0_naive,14,180.28151981037925,411.51943847305387,460.3331129740519,0.6271994011976078
R0_naive,15,180.20714451097805,318.3179165668663,371.28848702594814,-0.42614111776447045
R0_naive,16,187.80239560878246,195.5747134231537,280.1340426646707,0.824223602794413
R0_naive,17,195.65103353293412,76.44102490019961,213.19463478043912,-1.1353269960079875
R0_naive,18,191.41186746506986,10.696773303393213,193.0203508483034,-0.033240269461088476
R0_naive,19,187.3618505489022,0.024644810379241516,187.36275643712574,-0.913931886227546
R0_naive,20,193.72799675648702,0.00012704590818363274,193.72798767465073,-0.894253443113775
R0_naive,21,194.772645508982,0.0,194.772645508982,-1.6926853293413102
R0_naive,22,195.30184466067863,0.0,195.30184466067863,-1.023418113772453
R0_naive,23,188.02752824351296,0.0,188.02752824351296,-2.354588423153691
