strategy_id,load_predictor,pv_predictor,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_days,emergency_events,evaluation_initial_kWh,final_kWh,fallback_days,solver_failures,max_mip_gap,solver_seconds,evaluated_days,evaluated_slots,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_total_cost_yuan,delta_unused_kWh,delta_loss_kWh,delta_total_pct
R0_naive,naive,naive,22189694.40586838,90293.65687696081,3130022.853768212,6383942.385492798,5173166.671482333,1213190.5353806503,13618814.44857848,539546.0385612649,14158360.487139747,545,106,172,8801.462273333342,6386.64090314815,0,0,3.8842651004004265e-16,10.33819420170039,334,48096,0.0,0.0,0.0,0.0,0.0,0.0
R1_load_ridge,ridge,naive,22027363.88070938,56901.389526560335,2926484.320506326,6425972.168710515,5207380.713947564,1221195.0739763367,13481203.90432572,345762.6208088584,13826966.52513458,509,123,202,8801.462273333342,6197.84305994796,0,0,2.894514820659109e-16,10.381835700711235,334,48096,-137610.5442527607,-193783.41775240644,-331393.96200516634,-203538.53326188587,8004.538595686434,-2.3406238476988666
R2_pv_ridge,naive,ridge,21934863.634501986,100167.82465671131,2876293.4056743803,6430237.101231956,5210688.542714303,1221989.1037581186,13456897.615970643,606553.2194627441,14063450.835433388,572,107,171,8801.462273333342,6360.917032868906,0,0,2.596465607555452e-16,10.627329801674932,334,48096,-161916.8326078374,67007.18090147921,-94909.65170635842,-253729.44809383154,8798.56837746827,-0.6703435174755318
R3_both_ridge,ridge,ridge,21742880.381834913,68418.73898356504,2643916.9575322215,6476633.113326106,5248440.445006513,1230823.360777779,13297869.003388403,424696.41770448955,13722565.421092894,512,123,203,8801.462273333342,6170.769815146891,0,0,2.850335428697304e-16,10.400199699681252,334,48096,-320945.44519007765,-114849.62085677532,-435795.0660468526,-486105.89623599034,17632.825397128705,-3.0780051577489633
