方法,A/B断点,B/C断点,C/D断点,A类数,B类数,C类数,D类数,最大最小类比,标准化类别熵,类别数平方偏差,RF准确率,RF平衡准确率,RF宏F1,RF_Kappa,RF最低类别召回率
分位数,0.31750386952753695,0.2762088344281919,0.24942327801523015,31,31,30,31,1.0333333333333334,0.9999280870804137,0.75,0.7479674796747967,0.7465053763440861,0.7478532396565183,0.6639640433594782,0.5666666666666667
一维K-Means,0.5587994539573745,0.3855100183660795,0.27868281702108044,9,9,43,62,6.888888888888889,0.7901669855035717,2072.75,0.8861788617886179,0.8835854797032592,0.893547287335987,0.8128667680938926,0.7777777777777778
等距区间,0.5892748425259716,0.4553732612806782,0.32147168003538473,8,5,15,95,19.0,0.5511382193333824,5556.75,0.9024390243902439,0.6848684210526316,0.7140934380625102,0.7293233082706767,0.4
