模型,准确率,Kappa
Logit-B(23维),0.9105691056910569,0.8706500956022944
XGBoost-A(8维),0.9105691056910569,0.8688826436670221
Logit-A(8维),0.9024390243902439,0.8594419579087706
XGBoost-B(23维),0.8943089430894309,0.8434654919236417
