特征,均值,标准差
F1,5.77677020943171e-17,6.956583162609202
F2,-4.1520535880290406e-16,7.2539414361411465
F3,3.260264686948021e-15,3.3577166261286178
F4,1.3467095550737672e-15,1.472717676439497
F7,0.44862655921557937,0.244851870440664
F8,0.4836537651757638,0.28768724073800134
F9,0.49359801900283146,0.21286748508990286
F10,1.2813627789178041,1.8504871101682245
