strategy_id,slots,days,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_days,emergency_events,initial_kWh,final_kWh,max_bus_balance_kWh,max_state_recursion_kWh,max_state_bound_violation_kWh,max_power_violation_kWh,min_nonnegative_kWh,max_simultaneous_kWh,day_boundary_max_kWh,slot_gap_seconds,energy_identity_residual_kWh,cost_vs_daily_yuan,monthly_reconciliation_yuan,events_cost_reconciliation_yuan,net_mae_kW,nu_yuan_per_kWh,adjusted_cost_yuan
A_base,48096,334,20248566.691808097,519323.5560511944,1566126.9941361928,6656430.953205808,5393857.194449374,12265436.51341214,3112931.8972103912,15378368.410622532,2738,306,699,8801.462273333342,6414.659659256388,4.831690603168681e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-6.560185283888131e-09,1.862645149230957e-09,0.0,0.0,303.8291523868929,0.9198888888888889,15380564.003827192
B_fixed_q50,48096,334,20080307.80944239,586934.6172421527,1481576.5552108362,6581690.178623892,5335213.802116854,12173596.398811867,3531499.284585831,15705095.6833977,3014,303,728,8801.462273333342,4307.287349444445,5.115907697472721e-13,4.604316927725449e-12,0.0,0.0,0.0,0.0,0.0,0.0,-3.4688127925619483e-09,0.0,0.0,0.0,303.8291523868929,0.9198888888888889,15709229.824974908
B_fixed_q65,48096,334,21349251.186309155,227721.22782295378,2323937.5098015117,6906096.0869680755,5592250.677604141,12979706.926196326,1384621.3870716814,14364328.313268008,1264,210,394,8801.462273333342,10676.07654,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-1.3578755897469819e-08,1.862645149230957e-09,0.0,0.0,303.8291523868929,0.9198888888888889,14362603.876433149
B_fixed_q80,48096,334,22582731.662041668,90711.29599396081,3464475.449096338,6673575.421150653,5403797.4071780285,13795819.050671559,541860.2460677739,14337679.296739332,550,106,174,8801.462273333342,10800.0,5.684341886080801e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-1.127773430198431e-10,0.0,0.0,0.0,303.8291523868929,0.9198888888888889,14335840.864090547
B_fixed_q90,48096,334,23961754.83212226,30423.3930263333,4849488.440959382,6324745.290887075,5121245.001664531,14735090.612491991,181442.0030964828,14916532.615588475,244,58,93,8801.462273333342,10800.0,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-8.72751115821302e-09,0.0,0.0,2.9103830456733704e-11,303.8291523868929,0.9198888888888889,14914694.18293969
B_adaptive,48096,334,22116515.708192196,139657.59912720765,3028597.5083620846,6774671.314862205,5486285.010871553,13490331.137896098,851699.9873557917,14342031.12525189,882,161,295,8801.462273333342,10133.411347592591,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-5.344190867617726e-09,0.0,0.0,0.0,303.8291523868929,0.9198888888888889,14340805.880097913
S_adaptive_W14,48096,334,22142324.906901788,145374.02095578852,3060163.4347004965,6771982.257157454,5483636.258967038,13509505.028205331,901179.3232687655,14410684.351474097,893,168,317,8801.462273333342,10656.317085,9.094947017729282e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-6.1791070038452744e-09,1.862645149230957e-09,0.0,1.1641532182693481e-10,303.8291523868929,0.9198888888888889,14408978.091142343
S_adaptive_W56,48096,334,21969750.78752033,145883.23402787227,2881176.43013547,6809786.845163514,5514518.748717447,13393639.832518458,892530.5150219108,14286170.34754037,924,175,314,8801.462273333342,10366.568789999998,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-4.602043190971017e-09,1.862645149230957e-09,0.0,1.1641532182693481e-10,303.8291523868929,0.9198888888888889,14284730.62344576
