strategy_id,slots,days,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_days,emergency_events,initial_kWh,final_kWh,max_bus_balance_kWh,max_state_recursion_kWh,max_state_bound_violation_kWh,max_power_violation_kWh,min_nonnegative_kWh,max_simultaneous_kWh,day_boundary_max_kWh,slot_gap_seconds,energy_identity_residual_kWh,cost_vs_daily_yuan,monthly_reconciliation_yuan,events_cost_reconciliation_yuan,net_mae_kW,nu_yuan_per_kWh,adjusted_cost_yuan,d_planned_kWh,d_emergency_kWh,d_unused_kWh,d_charge_kWh,d_discharge_kWh,d_planned_cost_yuan,d_emergency_cost_yuan,d_total_cost_yuan,d_emergency_slots,d_emergency_days,d_emergency_events,d_final_kWh,d_total_pct_of_A_total,d_planned_cost_pct_of_A_planned,d_emergency_cost_pct_of_A_emergency,d_emergency_kWh_pct_of_A,d_emergency_slots_pct_of_A
A_base,48096,334,20248566.691808097,519323.5560511944,1566126.9941361928,6656430.953205808,5393857.194449374,12265436.51341214,3112931.8972103912,15378368.410622532,2738,306,699,8801.462273333342,6414.659659256388,4.831690603168681e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-6.560185283888131e-09,1.862645149230957e-09,0.0,0.0,303.8291523868929,0.9198888888888889,15380564.003827192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_fixed_q50,48096,334,20080307.80944239,586934.6172421527,1481576.5552108362,6581690.178623892,5335213.802116854,12173596.398811867,3531499.284585831,15705095.6833977,3014,303,728,8801.462273333342,4307.287349444445,5.115907697472721e-13,4.604316927725449e-12,0.0,0.0,0.0,0.0,0.0,0.0,-3.4688127925619483e-09,0.0,0.0,0.0,303.8291523868929,0.9198888888888889,15709229.824974908,-168258.8823657073,67611.06119095831,-84550.4389253566,-74740.7745819157,-58643.392332520336,-91840.11460027285,418567.38737544,326727.2727751676,276.0,-3.0,29.0,-2107.3723098119435,2.1245899698272437,-0.7487716764083083,13.446082381388848,13.019063049066329,10.080350620891162
B_fixed_q65,48096,334,21349251.186309155,227721.22782295378,2323937.5098015117,6906096.0869680755,5592250.677604141,12979706.926196326,1384621.3870716814,14364328.313268008,1264,210,394,8801.462273333342,10676.07654,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-1.3578755897469819e-08,1.862645149230957e-09,0.0,0.0,303.8291523868929,0.9198888888888889,14362603.876433149,1100684.494501058,-291602.3282282406,757810.5156653188,249665.13376226742,198393.48315476626,714270.4127841853,-1728310.5101387098,-1014040.0973545238,-1474.0,-96.0,-305.0,4261.416880743612,-6.593938123202203,5.823440625232842,-55.52034439582537,-56.15041428998741,-53.83491599707816
B_fixed_q80,48096,334,22582731.662041668,90711.29599396081,3464475.449096338,6673575.421150653,5403797.4071780285,13795819.050671559,541860.2460677739,14337679.296739332,550,106,174,8801.462273333342,10800.0,5.684341886080801e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-1.127773430198431e-10,0.0,0.0,0.0,303.8291523868929,0.9198888888888889,14335840.864090547,2334164.970233571,-428612.26005723357,1898348.454960145,17144.467944844626,9940.212728654034,1530382.5372594185,-2571071.651142617,-1040689.1138831992,-2188.0,-200.0,-525.0,4385.340340743612,-6.7672270951991775,12.477195863236986,-82.59325086573998,-82.53279772562087,-79.91234477720964
B_fixed_q90,48096,334,23961754.83212226,30423.3930263333,4849488.440959382,6324745.290887075,5121245.001664531,14735090.612491991,181442.0030964828,14916532.615588475,244,58,93,8801.462273333342,10800.0,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-8.72751115821302e-09,0.0,0.0,2.9103830456733704e-11,303.8291523868929,0.9198888888888889,14914694.18293969,3713188.140314162,-488900.1630248611,3283361.446823189,-331685.6623187335,-272612.19278484304,2469654.099079851,-2931489.8941139085,-461835.79503405653,-2494.0,-248.0,-606.0,4385.340340743612,-3.003152107573686,20.135068950699857,-94.17134684960247,-94.14172673820823,-91.08838568298027
B_adaptive,48096,334,22116515.708192196,139657.59912720765,3028597.5083620846,6774671.314862205,5486285.010871553,13490331.137896098,851699.9873557917,14342031.12525189,882,161,295,8801.462273333342,10133.411347592591,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-5.344190867617726e-09,0.0,0.0,0.0,303.8291523868929,0.9198888888888889,14340805.880097913,1867949.0163840987,-379665.9569239867,1462470.5142258918,118240.36165639665,92427.81642217841,1224894.624483958,-2261231.9098545993,-1036337.2853706423,-1856.0,-145.0,-404.0,3718.751688336203,-6.738928719218337,9.9865554980008,-72.63994152525372,-73.10778656197904,-67.78670562454346
S_adaptive_W14,48096,334,22142324.906901788,145374.02095578852,3060163.4347004965,6771982.257157454,5483636.258967038,13509505.028205331,901179.3232687655,14410684.351474097,893,168,317,8801.462273333342,10656.317085,9.094947017729282e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-6.1791070038452744e-09,1.862645149230957e-09,0.0,1.1641532182693481e-10,303.8291523868929,0.9198888888888889,14408978.091142343,1893758.215093691,-373949.5350954059,1494036.4405643037,115551.3039516462,89779.06451766379,1244068.514793191,-2211752.5739416257,-967684.0591484345,-1845.0,-138.0,-382.0,4241.657425743612,-6.2925014755142135,10.142880063280371,-71.05046454513366,-72.00704276517399,-67.38495252008765
S_adaptive_W56,48096,334,21969750.78752033,145883.23402787227,2881176.43013547,6809786.845163514,5514518.748717447,13393639.832518458,892530.5150219108,14286170.34754037,924,175,314,8801.462273333342,10366.568789999998,6.821210263296962e-13,4.547473508864641e-12,0.0,0.0,0.0,0.0,0.0,0.0,-4.602043190971017e-09,1.862645149230957e-09,0.0,1.1641532182693481e-10,303.8291523868929,0.9198888888888889,14284730.62344576,1721184.0957122333,-373440.3220233221,1315049.435999277,153355.89195770584,120661.55426807236,1128203.319106318,-2220401.3821884803,-1092198.0630821623,-1814.0,-131.0,-385.0,3951.9091307436092,-7.1021712701832005,9.198232104276421,-71.32829934950588,-71.90898962158936,-66.2527392257122
