target,unit,n,mae,rmse,bias
load,kW,48096,138.05211661140402,183.49505959501334,3.409170792468147
pv,kW,48096,151.82658467278205,308.1701372940165,1.9688572925926755
net_demand,kWh per slot,48096,40.39245185156549,59.86839072761496,0.24005224997924543
