strategy_id,delta_planned_kWh,delta_emergency_kWh,delta_unused_kWh,delta_loss_kWh,delta_final_state_kWh,identity_lhs,identity_residual_kWh
G0_naive_gate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G1_ridge_gate,-446640.63741419464,-21539.034208745943,-485539.8064324339,17548.933337878436,-188.798528385375,-446640.6374141949,-2.3283064365386963e-10
G2_lightgbm_gate,-463861.75296296924,-25902.53930739902,-509443.466590513,19829.35939445626,-150.18507431159378,-463861.75296296936,-1.1641532182693481e-10
