strategy_id,unused_kWh,loss_kWh,initial_kWh,final_kWh,planned_kWh,emergency_kWh,terminal_valuation_yuan,adjusted_cost_yuan,nu_yuan_per_internal_kWh,emergency_cost_0_10_yuan,emergency_cost_19_21_yuan,emergency_cost_21_24_yuan
G0_naive_gate,3130022.989551908,1213190.532924959,8801.462273333342,6386.641606851853,22189694.54651042,90293.65026662748,-2166.2282945375887,14160526.762037354,0.8970555555555555,108305.41946886503,369227.6650989209,21289.942013975804
G1_ridge_gate,2644483.183119474,1230739.4662628374,8801.462273333342,6197.843078466478,21743053.909096226,68754.61605788153,-2335.5910633064027,13726928.869546125,0.8970555555555555,47017.06224063635,329539.2679209965,12732.085035916316
G2_lightgbm_gate,2620579.522961395,1233019.8923194152,8801.462273333342,6236.456532540259,21725832.79354745,64391.110959228456,-2300.952649810328,13682302.373287516,0.8970555555555555,46188.9952911882,314367.2538534537,10782.00652985178
