strategy_id,month,load_mae,pv_mae,net_mae,net_rmse,net_bias
G0_naive_gate,2025-02,146.43792177579365,132.0812409474206,232.73369422123014,335.90510532597426,-68.2413128720238
G0_naive_gate,2025-03,141.2300249327957,186.40616931003584,275.0979559811828,426.5032804715799,-41.442465076164886
G0_naive_gate,2025-04,125.52264460648148,223.74532090277776,300.1514179166667,464.75998721482307,-15.590655555555559
G0_naive_gate,2025-05,160.47889072580645,234.15826346326168,338.84423214605727,490.7729855405366,29.160745094086025
G0_naive_gate,2025-06,210.3437200694444,244.13956657407408,387.46060354166667,559.2001570599566,74.2646853009259
G0_naive_gate,2025-07,288.2680412858423,228.79050669802868,407.972882750896,551.8839739961737,103.10169238351253
G0_naive_gate,2025-08,183.77835450268816,217.21451379928314,332.1589704077061,472.05118709440995,-43.14942170698925
G0_naive_gate,2025-09,241.89689736111112,201.4453957175926,381.2145968287037,537.7993938049393,-114.70708733796299
G0_naive_gate,2025-10,137.4344687724014,155.7170108422939,252.35385389784943,374.6236606286258,-20.58098839605735
G0_naive_gate,2025-11,125.7949360185185,111.53462254629629,198.26396935185184,281.5393260147485,16.48718212962963
G0_naive_gate,2025-12,180.5122559139785,99.69991948924732,230.65844077060933,322.15176260986084,60.010516756272395
G1_ridge_gate,2025-02,123.51450387379775,107.13193546871516,189.99671190183733,268.1257590545204,-64.53781996169529
G1_ridge_gate,2025-03,116.47122479533905,154.8749241136589,222.42999704218775,341.74975925230353,6.6175166378576975
G1_ridge_gate,2025-04,110.02476021700492,174.62595996491885,236.80836162337158,366.6334786799496,35.318146478707284
G1_ridge_gate,2025-05,135.331220063775,182.63173321907038,266.31246232699806,376.5221811509082,60.387843317825684
G1_ridge_gate,2025-06,173.81111579501197,211.53491779777056,325.503227709234,474.02168498112314,69.32199648717064
G1_ridge_gate,2025-07,207.42337116703683,186.61250164482513,299.67210691122233,405.4873515177459,-11.140264223566293
G1_ridge_gate,2025-08,177.89538012147972,193.6330691318908,300.3483246457235,419.40532902838095,-93.75171644775027
G1_ridge_gate,2025-09,203.95731502462127,158.64516698058665,302.63709707068415,409.5447535503405,-11.408446526836714
G1_ridge_gate,2025-10,128.54446632930407,134.87973826439432,223.19334070836584,328.14925601288104,57.214366063315275
G1_ridge_gate,2025-11,116.2090483835524,89.90207130774795,174.85637536183472,241.05725952990952,51.34661341240635
G1_ridge_gate,2025-12,154.65147656923727,74.4932600712331,191.4162628488408,258.4440449053287,21.92045855515974
G2_lightgbm_gate,2025-02,115.42054629186339,112.32169167987685,192.04373782730556,277.20447039434816,-55.8696703346589
G2_lightgbm_gate,2025-03,111.77728559115076,151.81021515661854,219.54567496076893,340.1625020582902,7.766088784201034
G2_lightgbm_gate,2025-04,102.80168565128896,177.42013059643585,240.05815833565117,372.82764696941547,40.8927522640578
G2_lightgbm_gate,2025-05,130.33812142173358,184.49240605545327,267.13441075341063,381.2798031956273,61.64900670860975
G2_lightgbm_gate,2025-06,155.4594067495597,215.29308973036535,316.44591828616944,467.5818539701842,45.68294465106166
G2_lightgbm_gate,2025-07,196.60138273961485,184.67255616232325,292.73996144736134,404.49802909707677,-20.49191673056955
G2_lightgbm_gate,2025-08,161.1490096605653,193.80207419340928,295.71550100714154,422.49436967458706,-85.03980904554089
G2_lightgbm_gate,2025-09,183.62508111668572,150.99833577013052,289.6245630963011,405.37157034681974,-25.406869632933617
G2_lightgbm_gate,2025-10,112.66989569958106,134.22007330109207,211.21888558299165,320.9266467077467,35.17686243429239
G2_lightgbm_gate,2025-11,102.74610285337204,90.79780190626828,164.81423451703296,233.10302328460713,39.223959906109634
G2_lightgbm_gate,2025-12,143.55021975540524,77.27917781841779,183.8246272101716,254.69653575314524,17.501949266871026
