strategy_id,subset,samples,pv_mae_kW,pv_rmse_kW,pv_bias_kW,mean_positive_forecast_kW,share_of_slots
G0_naive_gate,all,48096,185.34670601921155,375.17487814648325,-0.7607554120924823,2379.6142976131073,1.0
G0_naive_gate,actual_gt_100kW,23991,371.3535753407528,531.2044570222803,-1.4803611937810008,4769.437116168563,0.498814870259481
G0_naive_gate,actual_le_100kW,24105,0.2195207093963908,1.741129982483123,-0.044552868699439946,1.0936902717278574,0.501185129740519
G0_naive_gate,actual_zero,21216,0.0050586444193061846,0.16119607034550837,-0.0050586444193061846,0.0050586444193061846,0.4411177644710579
G1_ridge_gate,all,48096,152.0413763306946,303.31841474989403,-3.5551456092282443,2382.408687810243,1.0
G1_ridge_gate,actual_gt_100kW,23991,300.6417212879567,429.17210962074984,-3.135049614097634,4771.09180458888,0.498814870259481
G1_ridge_gate,actual_le_100kW,24105,4.143808362651619,15.855626849387985,-3.973254840473976,5.022392243502394,0.501185129740519
G1_ridge_gate,actual_zero,21216,2.6630972477103523,12.244073761479113,-2.6630972477103523,2.6630972477103523,0.4411177644710579
G2_lightgbm_gate,all,48096,152.37981943245296,308.53447184453273,-2.4616689387659285,2381.3152111397803,1.0
G2_lightgbm_gate,actual_gt_100kW,23991,304.2071003441555,436.8080594298403,-3.919826120112164,4771.876581094894,0.498814870259481
G2_lightgbm_gate,actual_le_100kW,24105,1.2705766880988671,6.157801389274432,-1.010407833697375,2.0595452367257923,0.501185129740519
G2_lightgbm_gate,actual_zero,21216,0.7213694834614434,4.725125859281168,-0.7213694834614434,0.7213694834614434,0.4411177644710579
