strategy_id,predictor_id,alpha,samples,coverage,mean_adjustment_kWh,scope
L_q80,lightgbm,0.8,48096,0.7910429141716567,42.954741514378355,
L_q80,lightgbm,0.8,4032,0.8030753968253969,27.319832661638458,2025-02
L_q80,lightgbm,0.8,4464,0.7533602150537635,33.0243661912722,2025-03
L_q80,lightgbm,0.8,4320,0.7840277777777778,44.941000786632124,2025-04
L_q80,lightgbm,0.8,4464,0.7777777777777778,55.97696579082615,2025-05
L_q80,lightgbm,0.8,4320,0.8039351851851851,65.00056919762991,2025-06
L_q80,lightgbm,0.8,4464,0.7865143369175627,46.2946769888168,2025-07
L_q80,lightgbm,0.8,4464,0.7844982078853047,34.44792621988835,2025-08
L_q80,lightgbm,0.8,4320,0.7761574074074075,42.643877648414865,2025-09
L_q80,lightgbm,0.8,4464,0.8006272401433692,43.84069980895221,2025-10
L_q80,lightgbm,0.8,4320,0.8252314814814815,39.92107594300939,2025-11
L_q80,lightgbm,0.8,4464,0.8082437275985663,38.2454502907573,2025-12
R_q80,ridge,0.8,48096,0.7911676646706587,44.587818487579135,
R_q80,ridge,0.8,4032,0.8070436507936508,24.897355883893987,2025-02
R_q80,ridge,0.8,4464,0.7513440860215054,32.42818310337411,2025-03
R_q80,ridge,0.8,4320,0.7835648148148148,44.00905024487895,2025-04
R_q80,ridge,0.8,4464,0.7703853046594982,54.20961057571109,2025-05
R_q80,ridge,0.8,4320,0.7895833333333333,67.564605521265,2025-06
R_q80,ridge,0.8,4464,0.7974910394265233,52.51989671343729,2025-07
R_q80,ridge,0.8,4464,0.7936827956989247,36.65895378987463,2025-08
R_q80,ridge,0.8,4320,0.7564814814814815,41.99205408326728,2025-09
R_q80,ridge,0.8,4464,0.7959229390681004,48.447396149587796,2025-10
R_q80,ridge,0.8,4320,0.8398148148148148,44.35598324863901,2025-11
R_q80,ridge,0.8,4464,0.8192204301075269,42.108689253850336,2025-12
R_q70,ridge,0.7,48096,0.6876663339986693,27.541734412218517,
R_q70,ridge,0.7,4032,0.699156746031746,12.032910988071148,2025-02
R_q70,ridge,0.7,4464,0.6512096774193549,18.165199129659037,2025-03
R_q70,ridge,0.7,4320,0.6824074074074075,27.076640112134967,2025-04
