alpha,treatment,baseline,delta_total_cost_yuan,delta_total_pct,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_emergency_days,lightgbm_total_cost_yuan,ridge_total_cost_yuan
0.7,lightgbm,ridge,-89253.7533944603,-0.6488424836491449,-15312.246889907867,-73941.50650455232,-13,13666589.250671744,13755843.004066205
0.75,lightgbm,ridge,-71289.63658090495,-0.5204125023216902,-17342.771029777825,-53946.865551129915,-9,13627389.058274437,13698678.694855342
0.8,lightgbm,ridge,-44301.69036404416,-0.3229602354070216,-19673.401556374505,-24628.28880766983,3,13673080.670412183,13717382.360776227
0.85,lightgbm,ridge,-30979.733427327126,-0.22465299905395736,-17661.30150809884,-13318.431919227995,-4,13759058.039398659,13790037.772825986
0.9,lightgbm,ridge,-2663.2517185825855,-0.018873045480633788,-21743.398839341477,19080.147120761278,-1,14108740.873892358,14111404.12561094
