case,load_kW_mean,pv_kW_sum,net_demand_kWh,grid_kWh,cost_yuan,charge_kWh,discharge_kWh,unused_kWh
附件1（问题一已锁定）,4626.0336708333325,332897.014,55541.972433333336,59482.69899835391,35126.948589289634,20740.66613168725,16799.939566666668,0.0
附件2第52天（2025-02-21）,3158.4167513888883,301450.44,25560.262033333333,34203.35629794239,17456.796932609257,17883.01016460905,14485.238233333333,5245.322333333335
第52天·无储能（解析）,3158.4167513888883,301450.44,25560.262033333333,41472.251033333334,30531.945979348333,0.0,0.0,15911.989000000001
