strategy_id,recomputed_delta_planned,recomputed_lhs,residual,file_delta_planned,file_residual
R0_naive,0.0,0.0,0.0,0.0,0.0
R1_load_ridge,-162330.52515900135,-162330.52515899917,2.1827872842550278e-09,-162330.52515900135,2.211891114711761e-09
R2_pv_ridge,-254830.77136639878,-254830.77136639305,5.73345459997654e-09,-254830.77136639503,2.066371962428093e-09
R3_both_ridge,-446814.0240334645,-446814.0240334676,-3.0850060284137726e-09,-446814.0240334682,1.1059455573558807e-09
