strategy_id,scope,mae_recomputed,mae_file,rmse_recomputed,rmse_file,bias_recomputed,bias_file,mean_positive_recomputed,mean_positive_file,samples_recomputed,samples_file
R0_naive,load,176.79572117223884,176.79572117223884,244.28661499529923,244.28661499529923,-1.9494697043413223,-1.9494697043413225,,,,
R0_naive,pv,185.34649152736193,185.34649152736196,375.1748781365903,375.1748781365903,-0.7610173132900867,-0.7610173132900867,,,,
R0_naive,net_demand,303.8291523868929,303.8291523868929,448.2115496746542,448.2115496746542,-1.1884523910512308,-1.1884523910512308,,,,
R0_naive,pv_all,185.34649152736193,185.34649152736196,375.1748781365903,375.1748781365903,-0.7610173132900867,-0.7610173132900867,2379.614559514305,2379.614559514305,48096.0,48096.0
R0_naive,pv_actual_gt_100kW,371.3535753407528,371.3535753407528,531.2044570222803,531.2044570222803,-1.4803611937810008,-1.4803611937810008,4769.437116168563,4769.437116168563,23991.0,23991.0
R0_naive,pv_actual_le_100kW,0.21909274009541588,0.2190927400954158,1.7411257291547748,1.7411257291547748,-0.04507543248288737,-0.0450754324828873,1.0942128355113045,1.0942128355113043,24105.0,24105.0
R0_naive,pv_actual_zero,0.005065191365007542,0.0050651913650075,0.1611961561175628,0.1611961561175628,-0.005065191365007542,-0.0050651913650075,0.005065191365007542,0.0050651913650075,21216.0,21216.0
R1_load_ridge,load,150.02486407635743,150.02486407635746,195.98837941402917,195.9883794140292,7.849000072220999,7.849000072221028,,,,
R1_load_ridge,pv,185.34649152736193,185.34649152736196,375.1748781365903,375.1748781365903,-0.7610173132900867,-0.7610173132900867,,,,
R1_load_ridge,net_demand,282.498109500563,282.498109500563,425.3249657034605,425.3249657034605,8.61001738551109,8.610017385511112,,,,
R1_load_ridge,pv_all,185.34649152736193,185.34649152736196,375.1748781365903,375.1748781365903,-0.7610173132900867,-0.7610173132900867,2379.614559514305,2379.614559514305,48096.0,48096.0
R1_load_ridge,pv_actual_gt_100kW,371.3535753407528,371.3535753407528,531.2044570222803,531.2044570222803,-1.4803611937810008,-1.4803611937810008,4769.437116168563,4769.437116168563,23991.0,23991.0
R1_load_ridge,pv_actual_le_100kW,0.21909274009541588,0.2190927400954158,1.7411257291547748,1.7411257291547748,-0.04507543248288737,-0.0450754324828873,1.0942128355113045,1.0942128355113043,24105.0,24105.0
R1_load_ridge,pv_actual_zero,0.005065191365007542,0.0050651913650075,0.1611961561175628,0.1611961561175628,-0.005065191365007542,-0.0050651913650075,0.005065191365007542,0.0050651913650075,21216.0,21216.0
R2_pv_ridge,load,176.79572117223884,176.79572117223884,244.28661499529923,244.28661499529923,-1.9494697043413223,-1.9494697043413225,,,,
R2_pv_ridge,pv,154.6561194186021,154.65611941860212,303.4147192508477,303.4147192508477,-6.170109364135096,-6.170109364135091,,,,
R2_pv_ridge,net_demand,270.32999069157376,270.3299906915737,387.5517211532705,387.5517211532705,4.220639659793779,4.220639659793775,,,,
R2_pv_ridge,pv_all,154.6561194186021,154.65611941860212,303.4147192508477,303.4147192508477,-6.170109364135096,-6.170109364135091,2385.0236515651495,2385.023651565149,48096.0,48096.0
R2_pv_ridge,pv_actual_gt_100kW,300.6417212879568,300.6417212879567,429.17210962074984,429.1721096207498,-3.1350496140976487,-3.135049614097634,4771.09180458888,4771.09180458888,23991.0,23991.0
R2_pv_ridge,pv_actual_le_100kW,9.360928609737277,9.36092860973728,19.182982751861342,19.182982751861346,-9.190815377955818,-9.190815377955818,10.239952780984236,10.239952780984236,24105.0,24105.0
R2_pv_ridge,pv_actual_zero,8.319382673972624,8.319382673972624,16.61894006029779,16.61894006029779,-8.319382673972624,-8.319382673972624,8.319382673972624,8.319382673972624,21216.0,21216.0
R3_both_ridge,load,150.02486407635743,150.02486407635746,195.98837941402917,195.9883794140292,7.849000072220999,7.849000072221028,,,,
R3_both_ridge,pv,154.6561194186021,154.65611941860212,303.4147192508477,303.4147192508477,-6.170109364135096,-6.170109364135091,,,,
R3_both_ridge,net_demand,248.9291920254261,248.9291920254261,360.9810747774679,360.9810747774679,14.0191094363561,14.01910943635612,,,,
R3_both_ridge,pv_all,154.6561194186021,154.65611941860212,303.4147192508477,303.4147192508477,-6.170109364135096,-6.170109364135091,2385.0236515651495,2385.023651565149,48096.0,48096.0
R3_both_ridge,pv_actual_gt_100kW,300.6417212879568,300.6417212879567,429.17210962074984,429.1721096207498,-3.1350496140976487,-3.135049614097634,4771.09180458888,4771.09180458888,23991.0,23991.0
R3_both_ridge,pv_actual_le_100kW,9.360928609737277,9.36092860973728,19.182982751861342,19.182982751861346,-9.190815377955818,-9.190815377955818,10.239952780984236,10.239952780984236,24105.0,24105.0
R3_both_ridge,pv_actual_zero,8.319382673972624,8.319382673972624,16.61894006029779,16.61894006029779,-8.319382673972624,-8.319382673972624,8.319382673972624,8.319382673972624,21216.0,21216.0
