strategy_id,scope,samples,coverage,mean_adjustment_kWh,mean_adjustment_positive_share
C0_original_naive,annual,48096,0.7934547571523619,54.18292253236583,0.9990851630073186
C0_original_naive,2025-02,4032,0.8087797619047619,30.44310630787037,1.0
C0_original_naive,2025-03,4464,0.775089605734767,36.0309598603644,1.0
C0_original_naive,2025-04,4320,0.787962962962963,47.9063546103395,1.0
C0_original_naive,2025-05,4464,0.7744175627240143,62.35383278449821,1.0
C0_original_naive,2025-06,4320,0.7912037037037037,82.11343566358025,1.0
C0_original_naive,2025-07,4464,0.7880824372759857,93.27467424955198,1.0
C0_original_naive,2025-08,4464,0.7995071684587813,52.921458960573474,1.0
C0_original_naive,2025-09,4320,0.7921296296296296,49.093946439043215,0.9898148148148148
C0_original_naive,2025-10,4464,0.8167562724014337,45.20807718040621,1.0
C0_original_naive,2025-11,4320,0.8027777777777778,40.835786504629624,1.0
C0_original_naive,2025-12,4464,0.7927867383512545,53.636914792413386,1.0
A0_naive_gate,annual,48096,0.7934339654025283,54.18288240636783,0.9990851630073186
A0_naive_gate,2025-02,4032,0.8087797619047619,30.44304067873677,1.0
A0_naive_gate,2025-03,4464,0.775089605734767,36.03091080869176,1.0
A0_naive_gate,2025-04,4320,0.787962962962963,47.90631997685185,1.0
A0_naive_gate,2025-05,4464,0.7744175627240143,62.353806765232974,1.0
A0_naive_gate,2025-06,4320,0.7912037037037037,82.11340065972222,1.0
A0_naive_gate,2025-07,4464,0.7880824372759857,93.27461956391876,1.0
A0_naive_gate,2025-08,4464,0.7995071684587813,52.92142042637395,1.0
A0_naive_gate,2025-09,4320,0.7921296296296296,49.09390667052469,0.9898148148148148
A0_naive_gate,2025-10,4464,0.8165322580645161,45.20803035767622,1.0
A0_naive_gate,2025-11,4320,0.8027777777777778,40.835769494598765,1.0
A0_naive_gate,2025-12,4464,0.7927867383512545,53.63687919653525,1.0
A1_load_arima,annual,48096,0.7963863938789089,52.7370692425931,0.9999584165003327
A1_load_arima,2025-02,4032,0.8018353174603174,34.68330446985397,1.0
A1_load_arima,2025-03,4464,0.7775537634408602,40.255705015969966,1.0
A1_load_arima,2025-04,4320,0.7965277777777777,49.14451928504191,1.0
A1_load_arima,2025-05,4464,0.7755376344086021,60.98064417450635,1.0
A1_load_arima,2025-06,4320,0.7988425925925926,72.90705030587878,1.0
A1_load_arima,2025-07,4464,0.794578853046595,70.20763099886513,1.0
A1_load_arima,2025-08,4464,0.7903225806451613,51.56661170156613,1.0
A1_load_arima,2025-09,4320,0.7831018518518519,56.26919005546532,0.999537037037037
A1_load_arima,2025-10,4464,0.8295250896057348,52.801296758274674,1.0
A1_load_arima,2025-11,4320,0.8138888888888889,42.15197739385285,1.0
A1_load_arima,2025-12,4464,0.7992831541218638,47.69993363026982,1.0
A2_pv_arima,annual,48096,0.791833000665336,50.41092340946616,0.998877245508982
A2_pv_arima,2025-02,4032,0.8234126984126984,26.641501440879168,0.9995039682539683
A2_pv_arima,2025-03,4464,0.7690412186379928,30.63979774881896,0.9986559139784946
A2_pv_arima,2025-04,4320,0.775,41.30245529495829,1.0
A2_pv_arima,2025-05,4464,0.7573924731182796,63.95241953173982,1.0
A2_pv_arima,2025-06,4320,0.7993055555555556,85.23006818681738,1.0
A2_pv_arima,2025-07,4464,0.7732974910394266,79.93532309403196,1.0
A2_pv_arima,2025-08,4464,0.7921146953405018,49.17479462554319,1.0
A2_pv_arima,2025-09,4320,0.7956018518518518,49.38281513161148,0.9898148148148148
A2_pv_arima,2025-10,4464,0.8149641577060932,40.39392848285914,0.9995519713261649
A2_pv_arima,2025-11,4320,0.8180555555555555,38.94522577975517,1.0
A2_pv_arima,2025-12,4464,0.7956989247311828,47.04791221451691,1.0
A3_both_arima,annual,48096,0.7950557218895542,48.91165099213276,0.9999584165003327
A3_both_arima,2025-02,4032,0.8100198412698413,30.94756808159645,1.0
A3_both_arima,2025-03,4464,0.7732974910394266,34.90616062157141,1.0
A3_both_arima,2025-04,4320,0.7833333333333333,42.575690713154835,1.0
A3_both_arima,2025-05,4464,0.760752688172043,62.59173538938654,1.0
A3_both_arima,2025-06,4320,0.8060185185185185,75.81356641567172,1.0
A3_both_arima,2025-07,4464,0.7818100358422939,57.02070066753028,1.0
A3_both_arima,2025-08,4464,0.7856182795698925,47.83714365700717,1.0
A3_both_arima,2025-09,4320,0.7902777777777777,56.53167422768193,0.999537037037037
