strategy_id,month,load_mae,pv_mae,net_mae,net_rmse,net_bias
C0_original_naive,2025-02,146.43792177579365,132.08102217261904,232.7336398313492,335.9050441884679,-68.24102787698412
C0_original_naive,2025-03,141.2300249327957,186.4059520609319,275.0979236783154,426.5032598341207,-41.44218707437276
C0_original_naive,2025-04,125.52264460648148,223.74509905092594,300.1514087962963,464.76000148817354,-15.590378240740739
C0_original_naive,2025-05,160.47889072580645,234.1580391801075,338.8442418234767,490.7730179350439,29.160994780465945
C0_original_naive,2025-06,210.3437200694444,244.1393226851852,387.4605637731481,559.2001740532178,74.26496872685185
C0_original_naive,2025-07,288.2680412858423,228.79033702956986,407.9729767921147,551.8840747450797,103.10189628136202
C0_original_naive,2025-08,183.77835450268816,217.21435291218637,332.15898098118276,472.05119673305114,-43.1492077732975
C0_original_naive,2025-09,241.89689736111112,201.44523108796295,381.21455446759256,537.799342634334,-114.70686719907407
C0_original_naive,2025-10,137.4344687724014,155.71680909498204,252.3538225358423,374.62361351712195,-20.5807225358423
C0_original_naive,2025-11,125.7949360185185,111.5344955787037,198.2639854398148,281.5393325339646,16.48734733796296
C0_original_naive,2025-12,180.5122559139785,99.69951285842295,230.65849314516132,322.15181037747243,60.010954166666664
A0_naive_gate,2025-02,146.43792177579365,132.0812409474206,232.73369422123014,335.90510532597426,-68.2413128720238
A0_naive_gate,2025-03,141.2300249327957,186.40616931003584,275.0979559811828,426.5032804715799,-41.442465076164886
A0_naive_gate,2025-04,125.52264460648148,223.74532090277776,300.1514179166667,464.75998721482307,-15.590655555555559
A0_naive_gate,2025-05,160.47889072580645,234.15826346326168,338.84423214605727,490.7729855405366,29.160745094086025
A0_naive_gate,2025-06,210.3437200694444,244.13956657407408,387.46060354166667,559.2001570599566,74.2646853009259
A0_naive_gate,2025-07,288.2680412858423,228.79050669802868,407.972882750896,551.8839739961737,103.10169238351253
A0_naive_gate,2025-08,183.77835450268816,217.21451379928314,332.1589704077061,472.05118709440995,-43.14942170698925
A0_naive_gate,2025-09,241.89689736111112,201.4453957175926,381.2145968287037,537.7993938049393,-114.70708733796299
A0_naive_gate,2025-10,137.4344687724014,155.7170108422939,252.35385389784943,374.6236606286258,-20.58098839605735
A0_naive_gate,2025-11,125.7949360185185,111.53462254629629,198.26396935185184,281.5393260147485,16.48718212962963
A0_naive_gate,2025-12,180.5122559139785,99.69991948924732,230.65844077060933,322.15176260986084,60.010516756272395
A1_load_arima,2025-02,146.30382620509934,132.0812409474206,230.85551926013258,333.046355589537,-43.90136629876425
A1_load_arima,2025-03,140.19094479859606,186.40616931003584,272.0435790370218,423.38300996904053,-16.027553724472625
A1_load_arima,2025-04,125.52264460648148,223.74532090277776,300.1514179166667,464.75998721482307,-15.590655555555559
A1_load_arima,2025-05,160.87296954705047,234.15826346326168,339.04048039609677,491.20247061569665,19.738161312357967
A1_load_arima,2025-06,201.10657651962975,244.13956657407408,379.05286747904336,549.1414251083452,29.957603121877696
A1_load_arima,2025-07,257.87385259534017,228.79050669802868,381.1090553931139,518.7125920062069,14.80036430670917
A1_load_arima,2025-08,183.77835450268816,217.21451379928314,332.1589704077061,472.05118709440995,-43.14942170698925
A1_load_arima,2025-09,223.28158342810488,201.4453957175926,364.25974622924707,516.7939942975095,-31.10707572447794
A1_load_arima,2025-10,140.84358715003287,155.7170108422939,254.2096326983461,375.24755108825985,9.150168145258503
A1_load_arima,2025-11,125.7949360185185,111.53462254629629,198.26396935185184,281.5393260147485,16.48718212962963
A1_load_arima,2025-12,176.476181167581,99.69991948924732,228.5297978459772,314.6073456167487,27.006110457594573
A2_pv_arima,2025-02,146.43792177579365,106.35332530904826,206.16923900193046,286.60591648370485,-84.98024682454486
A2_pv_arima,2025-03,141.2300249327957,155.0593548935858,240.5719610583833,357.22933680476467,-30.791037159259137
A2_pv_arima,2025-04,125.52264460648148,165.2490934571255,244.53809566458733,362.45740107413326,21.04348264945406
A2_pv_arima,2025-05,160.47889072580645,193.90484317894263,301.12768187883967,416.54656823943156,94.59958546869522
A2_pv_arima,2025-06,210.3437200694444,228.3929952364998,385.2228150018569,550.2855778790624,83.24475157392042
A2_pv_arima,2025-07,288.2680412858423,190.63400943785766,361.9935321249865,480.9964968376232,93.29965144657787
A2_pv_arima,2025-08,183.77835450268816,181.788559069393,297.9145598372001,412.01035822634583,-16.80147660060479
A2_pv_arima,2025-09,241.89689736111112,156.02900392447867,338.5929305012474,463.5043434643835,-70.52946722003615
A2_pv_arima,2025-10,137.4344687724014,140.03833203205087,240.9450282355048,353.2111396921312,-37.4339282351156
A2_pv_arima,2025-11,125.7949360185185,89.9660341998424,180.52442287714297,245.97639791374357,12.936402113875554
A2_pv_arima,2025-12,180.5122559139785,82.41821251098483,218.64476419854782,297.3375619283302,29.87125936206869
