strategy_id,hour,load_mae,pv_mae,net_mae,net_bias
C0_original_naive,0,180.4179123253493,0.0,180.4179123253493,-1.5981351796407237
C0_original_naive,1,180.33516047904192,0.0,180.33516047904192,-1.6582524950099777
C0_original_naive,2,172.89767814371257,0.0,172.89767814371257,-1.7089135728542941
C0_original_naive,3,166.39013158682636,0.00014760479041916165,166.39013468063874,-1.4150046407185617
C0_original_naive,4,166.40304341317366,0.040886776447105797,166.4079127245509,-1.7255314870259506
C0_original_naive,5,164.2931661177645,18.701557085828345,167.4640104291417,-3.58947729540918
C0_original_naive,6,157.97209520958086,95.59225244510978,195.41663617764468,-2.2446033433133743
C0_original_naive,7,163.6117426147705,218.29200903193612,284.0996894710579,-1.0226014471057927
C0_original_naive,8,160.5564382235529,336.9044718063873,382.37329775449103,-1.7315173153692631
C0_original_naive,9,158.48193018962075,470.62199351297403,498.99283148702597,-1.8032353792415194
C0_original_naive,10,158.1851463073852,557.0780589820359,588.8685504990019,-0.7791663672654715
C0_original_naive,11,170.27670903193612,610.5103845309382,642.7039051397205,-1.3769355788423152
C0_original_naive,12,173.82110668662676,613.8959916167664,642.6549645708584,-0.30704301397205624
C0_original_naive,13,174.9092211576846,514.1034047405188,545.7135825848303,-0.5402776946107778
C0_original_naive,14,180.28151981037925,411.51943847305387,460.3331129740519,0.6271994011976078
C0_original_naive,15,180.20714451097805,318.3179165668663,371.28848702594814,-0.42614111776447045
C0_original_naive,16,187.80239560878246,195.5747134231537,280.1340426646707,0.824223602794413
C0_original_naive,17,195.65103353293412,76.44102490019961,213.19463478043912,-1.1353269960079875
C0_original_naive,18,191.41186746506986,10.696773303393213,193.0203508483034,-0.033240269461088476
C0_original_naive,19,187.3618505489022,0.024644810379241516,187.36275643712574,-0.913931886227546
C0_original_naive,20,193.72799675648702,0.00012704590818363274,193.72798767465073,-0.894253443113775
C0_original_naive,21,194.772645508982,0.0,194.772645508982,-1.6926853293413102
C0_original_naive,22,195.30184466067863,0.0,195.30184466067863,-1.023418113772453
C0_original_naive,23,188.02752824351296,0.0,188.02752824351296,-2.354588423153691
A0_naive_gate,0,180.4179123253493,0.0,180.4179123253493,-1.5981351796407237
A0_naive_gate,1,180.33516047904192,0.0,180.33516047904192,-1.6582524950099777
A0_naive_gate,2,172.89767814371257,0.0,172.89767814371257,-1.7089135728542941
A0_naive_gate,3,166.39013158682636,0.0008103293413173654,166.39011437125748,-1.415814970059882
A0_naive_gate,4,166.40304341317366,0.04182814371257486,166.40800898203594,-1.7267336327345355
A0_naive_gate,5,164.2931661177645,18.702486876247505,167.46405838323352,-3.5905723552894218
A0_naive_gate,6,157.97209520958086,95.59226656686627,195.41662205588818,-2.2446174650698607
A0_naive_gate,7,163.6117426147705,218.29200903193612,284.0996894710579,-1.0226014471057927
A0_naive_gate,8,160.5564382235529,336.9044718063873,382.37329775449103,-1.7315173153692631
A0_naive_gate,9,158.48193018962075,470.62199351297403,498.99283148702597,-1.8032353792415194
A0_naive_gate,10,158.1851463073852,557.0780589820359,588.8685504990019,-0.7791663672654715
A0_naive_gate,11,170.27670903193612,610.5103845309382,642.7039051397205,-1.3769355788423152
A0_naive_gate,12,173.82110668662676,613.8959916167664,642.6549645708584,-0.30704301397205624
A0_naive_gate,13,174.9092211576846,514.1034047405188,545.7135825848303,-0.5402776946107778
A0_naive_gate,14,180.28151981037925,411.51943847305387,460.3331129740519,0.6271994011976078
A0_naive_gate,15,180.20714451097805,318.3179165668663,371.28848702594814,-0.42614111776447045
A0_naive_gate,16,187.80239560878246,195.5747134231537,280.1340426646707,0.824223602794413
A0_naive_gate,17,195.65103353293412,76.44102490019961,213.19463478043912,-1.1353269960079875
A0_naive_gate,18,191.41186746506986,10.697716417165667,193.02032579840318,-0.034356337325358206
A0_naive_gate,19,187.3618505489022,0.02561966067864271,187.36280743512978,-0.9151709081836339
A0_naive_gate,20,193.72799675648702,0.0008088822355289421,193.72789396207585,-0.8950623253493035
A0_naive_gate,21,194.772645508982,0.0,194.772645508982,-1.6926853293413102
A0_naive_gate,22,195.30184466067863,0.0,195.30184466067863,-1.023418113772453
A0_naive_gate,23,188.02752824351296,0.0,188.02752824351296,-2.354588423153691
A1_load_arima,0,173.6405145806708,0.0,173.6405145806708,-2.243033900498169
A1_load_arima,1,174.3595322374247,0.0,174.3595322374247,-3.0622239723768065
A1_load_arima,2,167.2622023492682,0.0,167.2622023492682,-2.2870608049108068
A1_load_arima,3,162.19319449419368,0.0008103293413173654,162.19325642034138,-1.2149682570721496
A1_load_arima,4,163.7252111031367,0.04182814371257486,163.7301681645437,-4.638110055008229
A1_load_arima,5,157.92635763094117,18.702486876247505,160.8641615496584,-5.5545741360211265
A1_load_arima,6,153.20179116647446,95.59226656686627,190.373779669748,-3.2671943359333118
A1_load_arima,7,161.12536921303706,218.29200903193612,282.6084621014687,-4.169266721701317
A1_load_arima,8,156.385669042255,336.9044718063873,377.6247779002858,-1.6080053298112267
A1_load_arima,9,156.27071440786023,470.62199351297403,498.5360444504414,-3.187768473426174
A1_load_arima,10,154.97470628934724,557.0780589820359,587.4313441755005,-2.678892278792181
A1_load_arima,11,166.7702533833821,610.5103845309382,640.4938034520743,-3.6558263262257547
A1_load_arima,12,170.31565103005445,613.8959916167664,639.8519450221407,1.3219351047483494
A1_load_arima,13,171.8485884238021,514.1034047405188,544.3228713971545,-0.16329203379855117
A1_load_arima,14,174.0702426680352,411.51943847305387,453.92083426982606,1.2323879753428124
A1_load_arima,15,177.31432667720367,318.3179165668663,366.9585681990372,-3.3507712229536977
