strategy_id,subset,samples,pv_mae_kW,pv_rmse_kW,pv_bias_kW,mean_positive_forecast_kW,share_of_slots
C0_original_naive,all,48096,185.34649152736193,375.1748781365903,-0.7610173132900867,2379.614559514305,1.0
C0_original_naive,actual_gt_100kW,23991,371.3535753407528,531.2044570222803,-1.4803611937810008,4769.437116168563,0.498814870259481
C0_original_naive,actual_le_100kW,24105,0.21909274009541588,1.7411257291547748,-0.04507543248288737,1.0942128355113045,0.501185129740519
C0_original_naive,actual_zero,21216,0.005065191365007542,0.1611961561175628,-0.005065191365007542,0.005065191365007542,0.4411177644710579
A0_naive_gate,all,48096,185.34670601921155,375.17487814648325,-0.7607554120924823,2379.6142976131073,1.0
A0_naive_gate,actual_gt_100kW,23991,371.3535753407528,531.2044570222803,-1.4803611937810008,4769.437116168563,0.498814870259481
A0_naive_gate,actual_le_100kW,24105,0.2195207093963908,1.741129982483123,-0.044552868699439946,1.0936902717278574,0.501185129740519
A0_naive_gate,actual_zero,21216,0.0050586444193061846,0.16119607034550837,-0.0050586444193061846,0.0050586444193061846,0.4411177644710579
A1_load_arima,all,48096,185.34670601921155,375.17487814648325,-0.7607554120924823,2379.6142976131073,1.0
A1_load_arima,actual_gt_100kW,23991,371.3535753407528,531.2044570222803,-1.4803611937810008,4769.437116168563,0.498814870259481
A1_load_arima,actual_le_100kW,24105,0.2195207093963908,1.741129982483123,-0.044552868699439946,1.0936902717278574,0.501185129740519
A1_load_arima,actual_zero,21216,0.0050586444193061846,0.16119607034550837,-0.0050586444193061846,0.0050586444193061846,0.4411177644710579
A2_pv_arima,all,48096,153.97050765867965,311.72830578771675,-11.340109959378417,2390.193652160393,1.0
A2_pv_arima,actual_gt_100kW,23991,308.361535441958,441.36636862887343,-22.904956529092285,4790.861711503874,0.498814870259481
A2_pv_arima,actual_le_100kW,24105,0.30964279460035493,2.5540382895702267,0.17004287422478725,0.8790945288036301,0.501185129740519
A2_pv_arima,actual_zero,21216,0.0015902368597069463,0.08868030667423404,-0.0015902368597069463,0.0015902368597069463,0.4411177644710579
A3_both_arima,all,48096,153.97050765867965,311.72830578771675,-11.340109959378417,2390.193652160393,1.0
A3_both_arima,actual_gt_100kW,23991,308.361535441958,441.36636862887343,-22.904956529092285,4790.861711503874,0.498814870259481
A3_both_arima,actual_le_100kW,24105,0.30964279460035493,2.5540382895702267,0.17004287422478725,0.8790945288036301,0.501185129740519
A3_both_arima,actual_zero,21216,0.0015902368597069463,0.08868030667423404,-0.0015902368597069463,0.0015902368597069463,0.4411177644710579
C3_ridge_gate,all,48096,152.0413763306946,303.31841474989403,-3.5551456092282443,2382.408687810243,1.0
C3_ridge_gate,actual_gt_100kW,23991,300.6417212879567,429.17210962074984,-3.135049614097634,4771.09180458888,0.498814870259481
C3_ridge_gate,actual_le_100kW,24105,4.143808362651619,15.855626849387985,-3.973254840473976,5.022392243502394,0.501185129740519
C3_ridge_gate,actual_zero,21216,2.6630972477103523,12.244073761479113,-2.6630972477103523,2.6630972477103523,0.4411177644710579
