treatment,baseline,delta_total_cost_yuan,delta_total_pct,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_emergency_kWh,delta_loss_kWh,treatment_total_cost_yuan,baseline_total_cost_yuan
A1_load_arima,A0_naive_gate,-165815.23416956514,-1.1711471379358305,-33098.38418324292,-132716.8499863235,-61449.81574244937,-23186.668281444712,3950.7736974568106,13992545.29957325,14158360.533742815
A2_pv_arima,A0_naive_gate,-70779.25737972185,-0.49991139306728116,-152546.68634114228,81767.42896141706,-232688.63868678035,12111.470393273863,6456.70479707187,14087581.276363093,14158360.533742815
A3_both_arima,A0_naive_gate,-246490.80393507332,-1.7409558355829815,-188109.66899471544,-58381.13494035555,-297735.4895284008,-12329.362622101762,11279.067632684717,13911869.729807742,14158360.533742815
A3_both_arima,C3_ridge_gate,187276.45132492296,1.3645318846608865,132869.83086338826,54406.62046153896,187804.31690403307,9209.671586644181,-6269.865705193719,13911869.729807742,13724593.278482819
A0_naive_gate,C0_original_naive,0.046603068709373474,3.291558281179784e-07,0.09275108017027378,-0.046148010063916445,0.13578369608148932,-0.006610333337448537,-0.0024556913413107395,14158360.533742815,14158360.487139747
