strategy_id,month,total_cost_yuan,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_planned_kWh
C0_original_naive,2025-02,1219879.7722109973,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-03,1149994.9978190907,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-04,964037.167527831,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-05,1032151.5127669331,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-06,1458239.8990227564,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-07,1701429.3868917555,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-08,1298899.1411918001,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-09,1168429.0737627076,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-10,1138824.8242045224,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-11,1273083.0954635886,0.0,0.0,0.0,0.0,0.0
C0_original_naive,2025-12,1753391.6162777639,0.0,0.0,0.0,0.0,0.0
A0_naive_gate,2025-02,1219879.7041334542,-0.06807754305191338,-0.06807754305191338,0.0,-0.11726666666800156,-0.12407407397404313
A0_naive_gate,2025-03,1149994.9091606755,-0.08865841524675488,-0.004449173575267196,-0.08420924168240163,0.005973868304863572,0.02520288061350584
A0_naive_gate,2025-04,964037.209157063,0.04162923200055957,0.02128256531432271,0.020346666658952017,0.06556255143368617,0.07156460918486118
A0_naive_gate,2025-05,1032151.610702135,0.09793520194943994,0.035213901894167066,0.06272130001889309,0.03828436211915687,0.011995613109320402
A0_naive_gate,2025-06,1458239.8913894414,-0.007633314933627844,0.04025040450505912,-0.047883719569654204,0.02349547325866297,0.02941657416522503
A0_naive_gate,2025-07,1701429.285325879,-0.10156587650999427,-0.057614259188994765,-0.04395161717548035,-0.04830889712320641,-0.03494998160749674
A0_naive_gate,2025-08,1298899.1085926334,-0.03259916673414409,-0.01649324130266905,-0.016105925005831523,0.0005668724188581109,0.0007222220301628113
A0_naive_gate,2025-09,1168429.0905961152,0.016833407571539283,-0.008226175792515278,0.02505958330948488,-0.011549999995622784,-0.0073539093136787415
A0_naive_gate,2025-10,1138824.8336579895,0.009453467093408108,-0.002365674590691924,0.01181914166113529,-0.01717818935867399,-0.019548353971913457
A0_naive_gate,2025-11,1273083.145656503,0.05019291443750262,0.03891504765488207,0.011277866673935932,0.04915576131315902,0.04594218102283776
A0_naive_gate,2025-12,1753391.7453709256,0.12909316178411245,0.11431522690691054,0.014777935080928728,0.14704855968011543,0.14172428008168936
A1_load_arima,2025-02,1219931.6496130214,51.87740202411078,277.3114467721898,-225.4340447478662,120.49824355563032,280.70681943465024
A1_load_arima,2025-03,1151655.1839857642,1660.186166673433,-148.64037587679923,1808.8265425500613,-27.096710380312288,-535.5928730906453
A1_load_arima,2025-04,965545.9913532562,1508.8238254251191,2756.3395033949055,-1247.515677969861,4380.510896162654,4331.800708620576
A1_load_arima,2025-05,1022025.309593992,-10126.20317294111,1586.4309919143561,-11712.634164855568,774.1366028985358,2646.8901134012267
A1_load_arima,2025-06,1419716.4916074472,-38523.40741530922,-2866.4782982508186,-35656.92911705846,-6322.331260540697,-969.8040123889223
A1_load_arima,2025-07,1578541.9871002333,-122887.39979152218,-21064.78769435594,-101822.61209716639,-43590.93719481898,-22494.97591691278
A1_load_arima,2025-08,1296809.8583217566,-2089.282870043535,-2701.1374257691205,611.8545557258476,-4177.80884753709,-3482.1681209462695
A1_load_arima,2025-09,1185381.7138250577,16952.64006235008,-17201.085069311317,34153.7251316613,-15881.830459198041,-20229.044230617117
A1_load_arima,2025-10,1150405.1684141536,11580.344209631206,5324.488147487398,6255.856062143618,7181.254670642375,5548.879398199031
A1_load_arima,2025-11,1275154.1675980287,2071.0721344400663,2997.725594729418,-926.6534602893962,3399.231509819918,2875.625524398405
A1_load_arima,2025-12,1727377.7781605392,-26013.83811722463,-2058.458252897719,-23955.37986432673,-7305.307409357192,-2276.337652762886
A2_pv_arima,2025-02,1214035.0121262553,-5844.760084741982,-4870.913595290156,-973.8464894520096,-6781.528099982068,-6494.515645134961
A2_pv_arima,2025-03,1147319.808746811,-2675.189072279725,-17661.691656043287,14986.5025837635,-24233.49364738108,-25207.297014749376
A2_pv_arima,2025-04,953790.4304344545,-10246.737093376578,-33501.301561483066,23254.564468106404,-52248.4571385482,-54623.71998870955
A2_pv_arima,2025-05,1016343.3913070692,-15808.121459863847,-17344.082102297456,1535.9606424335143,-30014.392205037817,-29598.842936569126
A2_pv_arima,2025-06,1507350.9820779904,49111.08305523405,-374.18229780206457,49485.26535303595,7765.665317972249,-1769.0101752709597
A2_pv_arima,2025-07,1642054.9610890134,-59374.42580274213,-25207.259431909537,-34167.16637083262,-46341.09841048875,-37837.2514263317
A2_pv_arima,2025-08,1294129.6879218179,-4769.453269982245,-19168.04111725418,14398.587847272105,-29215.224063826725,-30672.980295456946
A2_pv_arima,2025-09,1140205.7270951539,-28223.346667553764,-14598.848414326785,-13624.498253227,-28665.950523912732,-25211.589072195813
A2_pv_arima,2025-10,1148549.982587079,9725.158382556634,-12867.293550557457,22592.45193311414,-14814.375209051941,-18151.74549330375
A2_pv_arima,2025-11,1271228.0877001141,-1855.0077634744812,-1676.5958289308473,-178.41193454359154,-2273.722783189791,-2367.4389057336375
A2_pv_arima,2025-12,1752573.2052773328,-818.4110004310496,-5276.3840341675095,4457.97303373662,-5865.926139637566,-6408.872687485069
A3_both_arima,2025-02,1213971.1789410892,-5908.593269908102,-4566.759935384849,-1341.8333345232172,-6613.697485223238,-5989.225735513959
A3_both_arima,2025-03,1147582.5022756252,-2412.495543465484,-17791.1791741224,15378.683630657146,-24325.412566912157,-25589.902091158554
A3_both_arima,2025-04,954046.7472099097,-9990.420317921322,-30809.663842295296,20819.243524374,-48039.602064693114,-50390.13384129456
A3_both_arima,2025-05,1006156.4284945516,-25995.0842723815,-15823.543560191989,-10171.540712189562,-29184.077169558615,-26902.650736785727
A3_both_arima,2025-06,1457522.9253360447,-716.9736867116299,-4172.971142653376,3455.9974559415714,-2031.6462310736533,-3951.2981896917336
A3_both_arima,2025-07,1523742.3559639573,-177687.03092779825,-45396.11859117262,-132290.9123366255,-87158.10853246012,-58048.08507340029
A3_both_arima,2025-08,1291713.178168486,-7185.96302331402,-21981.038904011715,14795.075880697907,-33680.55749352166,-34491.714768073056
A3_both_arima,2025-09,1168419.7776661688,-9.296096538892016,-31924.02256405237,31914.726467513363,-42843.7963235387,-45874.66357606999
A3_both_arima,2025-10,1150318.8748862494,11494.050681727007,-8335.835887399968,19829.886569127008,-10071.184584728384,-13385.793801957043
A3_both_arima,2025-11,1273266.9055450324,183.81008144374937,1435.8968297950923,-1252.0867483513273,1165.6873778425797,564.4307878867257
A3_both_arima,2025-12,1725128.8553206285,-28262.760957135353,-8744.339472148335,-19518.421484986873,-14952.958670838416,-10059.668726673815
