pair,n,max_abs_identity_residual_kWh,mean_abs_delta_net_kWh,mean_abs_delta_rho_kWh
06:00_vs_00:00,36406,2.2737367544323206e-13,44.56014175441167,16.60452860778773
12:00_vs_06:00,24382,2.2737367544323206e-13,19.19376381563357,8.924122124859366
18:00_vs_12:00,12358,2.2737367544323206e-13,0.0003495954037870691,0.00018909051266859106
